case,status,makespan,added_copy_bytes,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,evaluation_seconds
case_001,ok,233110,0,233110,233110,0,0,1.0,0.0,0.347
case_002,ok,261945,0,261945,261945,0,0,1.0,0.0,1.036
case_003,ok,602212,0,602212,602212,0,0,1.0,0.0,38.424
case_004,ok,392357,0,392357,392357,0,0,1.0,0.0,0.367
case_005,ok,95618,0,95618,95618,0,0,1.0,0.0,3.645
case_006,ok,82837,16400,82837,82837,16400,16400,1.0,0.029275126148920052,0.295
case_007,ok,1012562,0,1012562,1012562,0,0,1.0,0.0,5.107
case_008,ok,487605,0,487605,487605,0,0,1.0,0.0,0.563
case_009,ok,153261,0,153261,153261,0,0,1.0,0.0,7.058
case_010,ok,86969,0,86969,86969,0,0,1.0,0.0,0.229
case_011,ok,184697,0,184697,184697,0,0,1.0,0.0,0.306
case_012,ok,59088,0,59088,59088,0,0,1.0,0.0,0.461
case_013,ok,263949,0,263949,263949,0,0,1.0,0.0,2.109
case_014,ok,17698626,71010720,17698626,17689602,71010720,71010720,1.0005101301883446,0.12291025483195864,653.387
case_015,ok,177362,180256,177362,177362,180256,180256,1.0,0.1692685978123867,0.47
case_016,ok,7715523,0,7715523,7715523,0,0,1.0,0.0,90.9
case_017,ok,162810,22528,162810,162810,22528,22528,1.0,0.040398388942088706,0.7
case_018,ok,1004367,1970176,1004367,1003110,1970176,1970176,1.0012531028501361,0.34375031576536474,2.413
case_019,ok,81144,0,81144,81144,0,0,1.0,0.0,0.222
case_020,ok,532746,0,532746,532746,0,0,1.0,0.0,8.72
case_021,ok,6567937,4501504,6567937,6558837,4501504,4501504,1.0013874410966457,0.5005973715651135,5.849
case_022,ok,56780,0,56780,56780,0,0,1.0,0.0,0.561
case_023,ok,122614,0,122614,122614,0,0,1.0,0.0,0.4
case_024,ok,2555343,0,2555343,2555343,0,0,1.0,0.0,7.114
case_025,ok,4863026,0,4863026,4863026,0,0,1.0,0.0,186.512
case_026,ok,99203,0,99203,99203,0,0,1.0,0.0,0.222
case_027,ok,2363952,1400832,2363952,2359515,1400832,1400832,1.0018804711985303,0.2689393939393939,1.054
case_028,ok,43836040,277412256,43836040,43836040,277412256,277412256,1.0,0.0,277.804
case_029,ok,37555,0,37555,37555,0,0,1.0,0.0,0.374
case_030,ok,2808034,5519360,2808034,2807891,5519360,5519360,1.0000509279028282,0.259867995341012,38.302
case_031,ok,1414369,3491328,1414369,1414159,3491328,3491328,1.0001484981533193,0.26059362793218216,9.31
case_032,ok,41443,0,41443,41443,0,0,1.0,0.0,0.361
case_033,ok,1774196,4592640,1774196,1774080,4592640,4592640,1.000065386002886,0.09627692445862406,4.064
case_034,ok,842996,1079832,842996,842733,1079832,1079832,1.0003120798639664,0.309046599146855,4.234
case_035,ok,169571,0,169571,169571,0,0,1.0,0.0,3.389
case_036,ok,931510,0,931510,931510,0,0,1.0,0.0,2.998
case_037,ok,210001,0,210001,210001,0,0,1.0,0.0,0.389
case_038,ok,1364555,5627904,1364555,1363312,5627904,5627904,1.0009117502083162,0.1736168151396097,12.132
case_039,ok,1435262,7929856,1435262,1435262,7929856,7929856,1.0,0.0,12.066
case_040,ok,253454,0,253454,253454,0,0,1.0,0.0,2.142
case_041,ok,6003957,30898176,6003957,6001575,30898176,30898176,1.0003968958148486,0.10163681549404405,211.33
case_042,ok,1686740,6629376,1686740,1675633,6629376,6629376,1.0066285397816825,0.3186917583766532,8.401
case_043,ok,677656,49160,677656,677656,49160,49160,1.0,0.03320740032104811,15.839
case_044,ok,154407,4438112,154407,107814,4438112,4438112,1.4321609438477378,0.8199885718367201,0.777
case_045,ok,125614,0,125614,125614,0,0,1.0,0.0,0.641
case_046,ok,276455,3176288,276455,244994,3176288,3176288,1.1284153897646474,0.7530304668077024,0.46
case_047,ok,326508,0,326508,326508,0,0,1.0,0.0,43.679
case_048,ok,222220,0,222220,222220,0,0,1.0,0.0,1.013
case_049,ok,196276,0,196276,196276,0,0,1.0,0.0,4.16
case_050,ok,149690,0,149690,149690,0,0,1.0,0.0,4.654
case_051,ok,607628,0,607628,607628,0,0,1.0,0.0,0.544
case_052,ok,180301,0,180301,180301,0,0,1.0,0.0,0.502
case_053,ok,1472686,5405536,1472686,1428109,5405536,5405536,1.0312140039730862,0.6248708378144704,26.513
case_054,ok,815051,0,815051,815051,0,0,1.0,0.0,65.299
case_055,ok,118835,69632,118835,118835,69632,69632,1.0,0.10014324257468461,0.515
case_056,ok,277285,0,277285,277285,0,0,1.0,0.0,12.937
case_057,ok,59726,94216,59726,59726,94216,94216,1.0,0.21868152274837513,0.35
case_058,ok,4539717,28696576,4539717,4539717,28696576,28696576,1.0,0.0,206.778
case_059,ok,829473,1691648,829473,815938,1691648,1691648,1.0165882701871956,0.6100443131462334,2.603
case_060,ok,888789,2068520,888789,887801,2068520,2068520,1.001112862003985,0.4231432279268349,8.884
case_061,ok,77191,0,77191,77191,0,0,1.0,0.0,0.529
case_062,ok,2854809,0,2854809,2854809,0,0,1.0,0.0,182.394
case_063,ok,1070397,0,1070397,1070397,0,0,1.0,0.0,17.36
case_064,ok,19116,0,19116,19116,0,0,1.0,0.0,0.297
case_065,ok,53068,0,53068,53068,0,0,1.0,0.0,0.251
case_066,ok,359070,0,359070,359070,0,0,1.0,0.0,7.416
case_067,ok,63834834,264449408,63834834,63834834,264449408,264449408,1.0,0.0,40.55
case_068,ok,362095,0,362095,362095,0,0,1.0,0.0,6.616
case_069,ok,25144,0,25144,25144,0,0,1.0,0.0,0.315
case_070,ok,117300,0,117300,117300,0,0,1.0,0.0,0.545
case_071,ok,18919,0,18919,18919,0,0,1.0,0.0,0.242
case_072,ok,23897828,108613680,23897828,23890756,108613680,108613680,1.000296014073393,0.026210198484652728,441.348
case_073,ok,10081626,141570432,10081626,10081626,141570432,141570432,1.0,0.0,10.064
case_074,ok,1682239,6070280,1682239,1678120,6070280,6070280,1.002454532452983,0.16680485013829857,4.404
case_075,ok,1441809,0,1441809,1441809,0,0,1.0,0.0,12.329
case_076,ok,6185113,28280832,6185113,6183098,28280832,28280832,1.0003258884138664,0.13357661937269952,534.687
case_077,ok,495320,0,495320,495320,0,0,1.0,0.0,5.076
case_078,ok,2296143,12644568,2296143,2296143,12644568,12644568,1.0,0.0,0.598
case_079,ok,31052251,32448512,31052251,31052251,32448512,32448512,1.0,0.0,212.558
case_080,ok,292138,548864,292138,291826,548864,548864,1.0010691302351402,0.1686143572621035,0.582
case_081,ok,151795,0,151795,151795,0,0,1.0,0.0,4.407
case_082,ok,721041,0,721041,721041,0,0,1.0,0.0,3.665
case_083,ok,1057993,13934688,1057993,946145,13934688,13934688,1.1182144385902795,0.7958684091545202,4.941
case_084,ok,2507412,0,2507412,2507412,0,0,1.0,0.0,42.34
case_085,ok,3187899,0,3187899,3187899,0,0,1.0,0.0,86.559
case_086,ok,118403,0,118403,118403,0,0,1.0,0.0,5.711
case_087,ok,3974071,7902720,3974071,3969779,7902720,7902720,1.0010811684982968,0.18336776784760794,205.901
case_088,ok,243623,0,243623,243623,0,0,1.0,0.0,2.229
