case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,5,233110,47502,4.9073723211654245,4608,,,a_selected,0.0,,,,,,,
case_002,5,261945,53938,4.856409210575105,502272,502272,0,depth_islands_4,0.0,,,,,,,
case_003,5,602212,175554,3.4303519145106347,4463396,4463396,0,fork_rebundle_4,0.047,,,,,,,
case_004,5,392357,82871,4.734551290560027,3852288,3852288,0,depth_shift_3_0,0.0,,,,,,,
case_005,5,95618,39919,2.395300483479045,1344888,1344888,0,fork_separators_3,0.015,,,,,,,
case_006,5,82837,20406,4.059443300989905,372608,372608,0,round5_round1_structure_affinity_64_bundle_0_boundary_45_74_tensorlocal_614_1,0.016,,,,,,,
case_007,5,1012562,203834,4.967581463347626,110592,110592,0,round1_seed_reference_a_affinity_64_bundle_5_split_0_1,0.015,,,,,,,
case_008,5,487605,54403,8.962832932007426,0,0,0,polish_seed_reference_local1_fixed_1_swap_0_15_memory_order,0.015,,,,,,,
case_009,5,153261,39161,3.9136130333750416,807580,807580,0,fork_rebundle_10,0.031,,,,,,,
case_010,5,86969,18797,4.626748949300421,347112,347112,0,round4_round1_structure_affinity_64_bundle_0_merge_1_8_tensorlocal_123_3,0.0,,,,,,,
case_011,5,184697,46742,3.9514141457361687,1044480,1044480,0,round6_round5_round4_round3_round2_round1_seed_reference_a_affinity_64_bundle_4_worksplit_0_4_0_boundary_187_0_boundary_190_4_worksplit_2_0_1_boundary_194_4_boundary_198_4,0.0,,,,,,,
case_012,5,59088,11971,4.935928493860162,49536,49536,0,round1_structure_components_pipe_move_13_4_0,0.016,,,,,,,
case_013,5,263949,53862,4.900467862314804,40960,40960,0,round5_round2_round1_seed_reference_fixed_4_worksplit_490_1_0_boundary_2954_492_worksplit_490_2_49,0.016,,,,,,,
case_014,5,17698626,3638039,4.864880777803647,81859368,39319392,42539976,polish_seed_reference_a_affinity_64_bundle_0_memory_order,0.156,,,,,,,
case_015,5,177362,40026,4.431169739669215,331776,331776,0,round4_round3_round2_round1_structure_components_pipe_move_10_4_0_move_12_0_0_worksplit_38_4_4_tensorlocal_508_4,0.0,,,,,,,
case_016,5,7715523,2088414,3.6944413320347405,412104,412104,0,round5_round2_round1_structure_chains_8_merge_0_5_tensorlocal_1000000035_2_tensorlocal_1000000039_2,0.094,,,,,,,
case_017,5,162810,32855,4.955410135443616,338688,338688,0,round3_round2_round1_seed_reference_a_affinity_64_bundle_5_split_0_1_split_4_1_split_1_1,0.016,,,,,,,
case_018,5,1004367,200560,5.007813123254886,5181456,4706320,475136,round2_round1_seed_reference_a_affinity_64_bundle_5_split_5_2_split_3_1,0.0,,,,,,,
case_019,5,81144,15933,5.092826209753342,399948,399948,0,depth_shift_12_6,0.015,,,,,,,
case_020,5,532746,107650,4.948871342313051,0,0,0,round1_seed_reference_a_affinity_64_bundle_5_split_1_1,0.031,,,,,,,
case_021,5,6567937,1241101,5.292024581399902,9420800,9420800,0,round1_structure_components_total_memory_order,0.016,,,,,,,
case_022,5,56780,11828,4.800473452823808,20736,20736,0,round1_seed_reference_components_total_merge_0_12,0.015,,,,,,,
case_023,5,122614,24171,5.072773157916512,270912,270912,0,round2_round1_seed_reference_a_affinity_64_bundle_5_split_0_2_split_5_1,0.015,,,,,,,
case_024,5,2555343,695298,3.6751766868306825,399456,399456,0,round5_round2_round1_structure_chains_8_merge_0_5_tensorlocal_1000000035_2_tensorlocal_1000000039_2,0.031,,,,,,,
case_025,5,4863026,970612,5.010267748595731,124416,124416,0,round1_polish_seed_reference_fixed_4_memory_order_splitmove_3_4666_2_0,0.094,,,,,,,
case_026,5,99203,24692,4.0176170419569095,412296,412296,0,round5_round2_round1_structure_affinity_64_bundle_0_boundary_710_0_boundary_712_3_tensorlocal_634_3,0.0,,,,,,,
case_027,5,2363952,487545,4.848684736793527,5341184,5341184,0,round3_round2_round1_structure_components_total_splitmove_0_16_1_0_swap_1_0_worksplit_11_3_3,0.016,,,,,,,
case_028,5,43836040,8330567,5.262071597287435,95330304,93229056,2101248,round4_round3_round2_round1_structure_chains_8_boundary_57_153_boundary_63_306_tensorlocal_1000000615_1_boundary_171_7191,0.093,,,,,,,
case_029,5,37555,8510,4.413043478260869,16388,16388,0,round2_round1_structure_components_total_move_10_1_0_worksplit_11_0_4,0.0,,,,,,,
case_030,5,2808034,559921,5.015053909390789,8736768,7463936,1272832,round1_structure_components_pipe_memory_order,0.047,,,,,,,
case_031,5,1414369,304971,4.63771637303219,7528704,6143232,1385472,round4_round3_round2_round1_structure_components_pipe_split_0_1_move_12_3_0_move_10_1_0_worksplit_77_3_18,0.032,,,,,,,
case_032,5,41443,10025,4.133965087281796,12404,12404,0,depth_islands_16,0.0,,,,,,,
case_033,5,1774196,353755,5.01532416502947,7854240,6548128,1306112,round3_round1_polish_seed_reference_a_affinity_64_bundle_5_placement_merge_14_19_boundary_8081_6,0.015,,,,,,,
case_034,5,842996,159947,5.2704708434668985,3479552,3479552,0,round4_round3_round2_round1_structure_components_pipe_placement_worksplit_138_3_32_boundary_2651_155_boundary_2659_155,0.032,,,,,,,
case_035,5,169571,41618,4.074462972752174,748578,748578,0,fork_rebundle_4,0.015,,,,,,,
case_036,5,931510,187182,4.976493466252097,4608,,,a_selected,0.015,,,,,,,
case_037,5,210001,43800,4.794543378995434,1925120,1925120,0,round1_seed_reference_a_affinity_64_bundle_5_split_0_1,0.0,,,,,,,
case_038,5,1364555,274469,4.971617924064284,9742848,8567808,1175040,round1_seed_reference_a_affinity_64_bundle_5_split_1_2,0.031,,,,,,,
case_039,5,1435262,335425,4.27893567861668,11079680,,,local1_fixed_48_move_3_4_0,0.016,,,,,,,
case_040,5,253454,87917,2.882878169182297,1882184,1882184,0,local_move_202_4_44,0.016,,,,,,,
case_041,5,6003957,1195827,5.020757183104245,28809216,18683904,10125312,round1_structure_affinity_64_bundle_0_memory_order,0.078,,,,,,,
case_042,5,1686740,347330,4.856303803299456,10274872,7374904,2899968,round4_round3_round2_round1_structure_affinity_64_bundle_0_tensorlocal_1000005220_0_boundary_4780_2_tensorlocal_1000005222_2_tensorlocal_1000005208_1,0.015,,,,,,,
case_043,5,677656,154760,4.378754200051693,4730208,4730208,0,fork_rebundle_4,0.047,,,,,,,
case_044,5,154407,73856,2.090649371750433,157376,157376,0,round5_round4_round3_round2_round1_polish_seed_reference_local1_adaptive_critical_25_move_42_1_0_placement_splitmove_55_56_1_0_splitmove_0_57_2_0_move_42_3_0_splitmove_7_58_4_0_boundary_672_56,0.015,,,,,,,
case_045,5,125614,26164,4.801024308209754,0,0,0,round1_seed_reference_a_affinity_64_bundle_5_split_2_1,0.015,,,,,,,
case_046,5,276455,91339,3.0266917745979263,3216768,3216768,0,round6_round4_round3_round2_round1_structure_chains_8_tensorlocal_1000000055_0_tensorlocal_1000000043_1_tensorlocal_1000000053_3_boundary_62_32_tensorlocal_1000000059_2,0.0,,,,,,,
case_047,5,326508,97905,3.334947142638272,2187352,2187352,0,fork_separators_3,0.062,,,,,,,
