case,cores,old_makespan,new_makespan,old_speedup,new_speedup,speedup_delta,old_added_bytes,new_added_bytes,old_groups,new_groups,old_active,new_active,old_source,new_source
case_001,2,122275,116868,1.9064404007360458,1.9946435294520313,0.08820312871598546,5760,1152,6,2,2,2,local1_fixed_96_merge_0_2,a_affinity_64_bundle_2
case_001,3,84296,78545,2.765374394989086,2.9678528232223567,0.20247842823327078,2304,2304,3,3,3,3,local1_fixed_192_merge_0_3,a_affinity_64_bundle_3
case_001,4,66601,58984,3.50009759613219,3.952088702020887,0.45199110588869695,26112,3456,13,4,4,4,local2_fixed_48_split_1_1,a_affinity_64_bundle_4
case_001,5,51119,47502,4.560143977777343,4.9073723211654245,0.34722834338808184,26496,4608,24,5,5,5,local1_fixed_24_merge_0_5,a_affinity_64_bundle_5
case_002,2,142820,142820,1.83409186388461,1.83409186388461,0.0,540672,540672,3,4,2,2,local2_fixed_768_merge_0_2,a_refine1_split_1_1
case_002,3,104599,101777,2.5042782435778546,2.573715082975525,0.06943683939767054,924672,709632,18,17,3,3,local1_fixed_96_merge_0_3,a_refine1_merge_17_18
case_002,4,80206,80206,3.265902800289255,3.265902800289255,0.0,540672,540672,5,5,4,4,local2_fixed_384_merge_0_4,local2_fixed_384_merge_0_4
case_002,5,67051,64475,3.9066531446212585,4.0627374951531605,0.15608435053190206,1075200,927744,38,37,5,5,local2_fixed_48_split_3_1,a_refine1_merge_35_36
case_003,2,594199,538381,1.0134853811601836,1.1185610190552786,0.105075637895095,3018580,98304,70,2,2,2,local1_fixed_192_merge_69_70,a_affinity_64_bundle_2
case_003,3,594199,538381,1.0134853811601836,1.1185610190552786,0.105075637895095,3018580,98304,70,2,2,2,local1_fixed_192_merge_69_70,a_affinity_64_bundle_2
case_003,4,594418,538764,1.013111985168686,1.1177658492401126,0.10465386407142652,3018596,196608,71,3,2,3,fixed_192,a_affinity_64_bundle_3
case_003,5,594418,539155,1.013111985168686,1.1169552355074144,0.10384325033872832,3018596,294912,71,4,2,4,fixed_192,a_affinity_64_bundle_4
case_004,2,207654,199074,1.8894747994259682,1.9709103147573264,0.08143551533135818,2064384,110592,17,2,2,2,local1_fixed_48_move_14_1_0,a_affinity_64_bundle_2
case_004,3,181072,134043,2.1668562781655916,2.927098020784375,0.7602417426187835,1944576,221184,16,3,3,3,local1_fixed_48_merge_0_1,a_affinity_64_bundle_3
case_004,4,152634,104188,2.570574052963298,3.765855952700887,1.195281899737589,6343680,331776,50,4,4,4,local2_fixed_16_split_0_1,a_affinity_64_bundle_4
case_004,5,126851,88341,3.0930540555454824,4.441391879195391,1.3483378236499082,4159488,442368,33,5,5,5,local2_fixed_24_split_0_1,a_affinity_64_bundle_5
case_005,2,94090,93418,1.0162397704325645,1.0235500652979084,0.007310294865343847,380692,311474,6,5,1,1,local2_fixed_768_merge_1_2,a_refine1_merge_6_4
case_005,3,94432,93760,1.0125593019315486,1.019816552901024,0.007257250969475271,506266,437048,8,7,1,1,local2_fixed_768_split_1_2,a_refine1_merge_6_4
case_005,4,94432,93760,1.0125593019315486,1.019816552901024,0.007257250969475271,506266,437048,8,7,1,1,local2_fixed_768_split_1_2,a_refine1_merge_6_4
case_005,5,94432,93760,1.0125593019315486,1.019816552901024,0.007257250969475271,506266,437048,8,7,1,1,local2_fixed_768_split_1_2,a_refine1_merge_6_4
case_006,2,44168,44168,1.8754980981706213,1.8754980981706213,0.0,25812,25812,5,5,2,2,local2_fixed_192_split_3_1,local2_fixed_192_split_3_1
