case,cores,base_best,refine_speedup_increment,components_speedup_increment,affinity_speedup_increment,chains_speedup_increment
case_001,2,122275,0.006413987316307157,0.0,0.0817891413996783,0.0
case_001,3,84296,0.0,0.0,0.20247842823327078,0.0
case_001,4,66601,0.02072283613532644,0.0,0.4312682697533705,0.0
case_001,5,51119,0.029629398347408298,0.0,0.31759894504067354,0.0
case_002,2,142820,0.0,0.0,0.0,0.0
case_002,3,104599,0.06943683939767054,0.0,0.0,0.0
case_002,4,80206,0.0,0.0,0.0,0.0
case_002,5,67051,0.15608435053190206,0.0,0.0,0.0
case_003,2,594199,0.0040671344525662345,0.10100850344252876,0.0,0.0
case_003,3,594199,0.0040671344525662345,0.10021333362736273,0.0007951698151660302,0.0
case_003,4,594418,0.005223436539249171,0.09861981379947915,0.0008106137326981955,0.0
case_003,5,594418,0.005223436539249171,0.09768419997970046,0.0009356138197786912,0.0
case_004,2,207654,0.011359934820421413,0.0,0.07007558051093676,0.0
case_004,3,181072,0.011597760522306988,0.0,0.7486439820964765,0.0
case_004,4,152634,0.17704322726975708,0.0,1.0182386724678318,0.0
case_004,5,126851,0.35030507948339107,0.0,0.9980327441665171,0.0
case_005,2,94090,0.007310294865343847,0.0,0.0,0.0
case_005,3,94432,0.007257250969475271,0.0,0.0,0.0
case_005,4,94432,0.007257250969475271,0.0,0.0,0.0
case_005,5,94432,0.007257250969475271,0.0,0.0,0.0
case_006,2,44168,0.0,0.0,0.0,0.0
case_006,3,44168,0.0,0.6726270364074955,0.0,0.0
case_006,4,44875,0.0,0.7900724145343181,0.2812871101966339,0.0
case_006,5,44875,0.0,0.7648163153292187,0.5791983957272007,0.0
case_007,2,533642,0.0025706727866239287,0.0,0.09519337755749113,0.0
case_007,3,355014,0.008978024232843218,0.0,0.13375978938481303,0.0
case_007,4,278598,0.041296839154233655,0.0,0.3044397186599337,0.0
case_007,5,248776,0.1781996474526899,0.0,0.7192062362570288,0.0
case_008,2,248055,0.0032464756905938863,0.0,0.02724523212283847,0.0
case_008,3,164903,0.00555116419675139,0.0,0.022396391058066456,0.0
case_008,4,131666,0.05213974258164766,0.0,0.206847838489713,0.0
case_008,5,109730,0.0,0.0,0.40314371169515795,0.0
case_009,2,153517,0.00046844103829513095,0.6635019966333401,0.0,0.0
case_009,3,144507,0.003859782552592339,0.5977024555525599,0.00016225151918169978,0.0
case_009,4,136443,0.0038743367344142854,0.5348437992809287,0.00016221984867614836,0.0
case_009,5,134750,0.0185984860309365,0.505844811522689,0.0001621881874425135,0.0
case_010,2,63102,0.010564176673315995,0.0,0.4111365569332295,0.0
case_010,3,58183,0.00985259148436124,0.0,1.3085632133070089,0.0
case_010,4,51802,0.012900091310826811,0.0,1.5992656342492295,0.0
case_010,5,43840,0.012797417836501124,0.0,1.5421983171277631,0.0
case_011,2,109851,0.012349878152446037,0.0,0.29988673693398793,0.0
case_011,3,109230,0.0,0.0,0.9618397409251738,0.0
case_011,4,79773,0.09877374971333719,0.0,1.525726560499229,0.0
case_011,5,79773,0.0985213555146407,1.3186555081286477,0.2073234465692777,0.0
case_012,2,52439,0.015112487974307864,0.3769081152896545,0.44698390842889846,0.0
case_012,3,36589,0.029253365299332756,0.0,1.2157159843465952,0.0
case_012,4,35627,0.010305132647344895,0.0,2.0560718591582505,0.0
case_012,5,36086,0.017287182124303246,0.0,2.752869799189477,0.0
case_013,2,136727,0.004769942102810898,0.0,0.06136685699243771,0.0
case_013,3,93112,0.00320028037785125,0.0,0.1495567045579529,0.0
case_013,4,72584,0.01701304366296208,0.0,0.2871203560617297,0.0
case_013,5,58651,0.0,0.0,0.35497352341558663,0.0
case_014,2,8988154,0.0001945603850312949,0.0,0.02454484557155845,0.0
case_014,3,5984300,0.00025552941601869605,0.0,0.010952007382779794,0.0
case_014,4,4697281,0.0014347602226942868,0.0,0.14568301754471236,0.0
case_014,5,4246253,0.03232499193167815,0.0,0.4054839115663036,0.0
case_015,2,97686,0.010242822617314573,0.0,0.0,0.0
case_015,3,97686,0.010242822617314573,0.7724533270837202,0.0,0.0
case_015,4,97686,0.010242822617314573,1.139745590429707,0.0,0.0
case_015,5,97686,0.010242822617314573,1.7356808730461482,0.0,0.0
case_016,2,7724753,0.00015466590680801584,0.0,0.6966872370457307,0.0
case_016,3,7724753,0.00015466590680801584,0.0,1.079195908319854,0.0
case_016,4,7724753,0.00015466590680801584,0.0,1.3813914566533234,0.0
case_016,5,7724753,0.00015466590680801584,0.0,1.3947990966067318,0.0
case_017,2,93703,0.019121751493390127,0.0,0.2343909986243451,0.0
case_017,3,67608,0.057251744977502295,0.0,0.4739935882760009,0.0
case_017,4,60624,0.054877664812460925,0.0,1.210388246359654,0.0
case_017,5,60622,0.054789064302043666,0.0,2.0157673905682274,0.0
case_018,2,568371,0.002425279054795171,0.0,0.19714031580946756,0.0
case_018,3,370756,0.004933625509344619,0.0,0.19434592191402844,0.0
case_018,4,335676,0.016148951487021,0.0,0.8761070833788227,0.0
case_018,5,272443,0.01967073514076967,0.0,1.077054337288602,0.0
case_019,2,60502,0.15241565925371825,0.0,0.4672580813244045,0.0
case_019,3,56764,5.036811842007438e-05,0.0,1.4020115423592132,0.0
case_019,4,52654,0.030838905167225095,0.0,1.7951922631923003,0.0
case_019,5,49668,0.06349020158567376,0.0,1.6698925132948115,0.0
case_020,2,296958,0.0010759957100521245,0.0,0.20054496898898932,0.0
case_020,3,250806,0.0,0.0,0.8610376941405784,0.0
case_020,4,176800,0.010638408096007801,0.0,0.9606104009839807,0.0
case_020,5,160395,0.02482673622399112,0.0,1.6025819669793622,0.0
case_021,2,3656498,0.0007799446059990611,0.0,0.27966974660485944,0.0
case_021,3,2641459,0.03851357220448337,0.0,0.5383748209630195,0.0
case_021,4,2066413,0.0,0.0,1.0580689877578173,0.0
case_021,5,1916183,7.513007497372826e-05,0.0,1.8259536899910582,0.0
case_022,2,56571,0.009203113952414466,0.7939441001700038,0.019527768879107787,0.0
case_022,3,39774,0.03387767986829693,1.2378672463525382,0.07409820729990058,0.0
case_022,4,56780,0.0,2.4645188846177315,0.0541029162126585,0.0
case_022,5,56780,0.0,3.363328978713594,0.0,0.0
case_023,2,97038,0.0038268136552719323,0.49561893186218264,0.2306785638759261,0.0
case_023,3,99281,0.007068622945148428,1.3361650490121024,0.38322275726590505,0.0
case_023,4,90529,0.06122037820008597,1.9728939644094068,0.6793475481312363,0.0
case_023,5,106437,0.03271260004723242,2.9882579308537585,0.8282257006196945,0.0
case_024,2,2555993,0.0002543042958255137,0.0,0.6959663321205427,0.0
case_024,3,2557189,0.0007218864151222748,0.0,1.0795874587190157,0.0
case_024,4,2557189,0.0007218864151222748,0.0,1.3818979547323034,0.0
case_024,5,2557189,0.0007218864151222748,0.0,1.3937302988716787,0.0
case_025,2,2471046,0.0008876177030525678,0.0,0.029377781648330492,0.0
case_025,3,1722042,3.2798169993242254e-06,0.0,0.17040907159778218,0.0
case_025,4,1292873,0.06202078601323535,0.0,0.0,0.0
case_025,5,1072106,0.021347497200500776,0.0,0.0,0.0
case_026,2,99203,0.0,0.429232099121164,0.12455357265153899,0.0
case_026,3,92465,0.00771303021131442,1.299069771152177,0.09331160763026958,0.0
case_026,4,92465,0.00771303021131442,1.232109940958939,0.6462050108290347,0.0
case_026,5,92465,0.00771303021131442,1.2106901744990117,0.8705745848829367,0.0
case_027,2,1193181,0.0008571632677936147,0.0,0.12678463230234938,0.0
case_027,3,1193181,0.0008571632677936147,0.8158320085648274,0.02624263495696022,0.0
case_027,4,698954,0.22985397158079923,0.0,0.6154300901732745,0.0
case_027,5,656858,0.015229853879993538,0.5680715809765622,0.04858413043942722,0.0
case_028,2,21068701,0.00030124407185416757,0.0,0.02572240506600343,0.0
case_028,3,14125979,0.012010841322334986,0.0,0.0,0.0
case_028,4,11613047,0.23803218600607368,0.0,0.0,0.0
case_028,5,10041376,0.0008992590994614247,0.0,0.0,0.0
case_029,2,29918,0.03342547409651808,0.0,0.6137924060761903,0.0
case_029,3,30480,0.009163010083580891,0.0,1.705825783619843,0.0
case_029,4,28561,0.025770484514724412,0.0,2.064747135936508,0.0
case_029,5,26637,0.012495252519387767,0.0,2.5800749964835017,0.0
case_030,2,1618358,0.0024715914050408294,0.0,0.2660187141130408,0.0
case_030,3,1157409,0.005197059146277994,0.0,0.5673684708648108,0.0
case_030,4,1037102,0.01900533120672332,0.0,1.285467500651786,0.0
case_030,5,1042290,0.013189822610588653,0.0,2.297207977986124,0.0
case_031,2,868833,0.00368631757791138,0.0,0.30231012685101466,0.0
case_031,3,733386,0.01770876640863439,0.0,0.863215388574587,0.0
case_031,4,673440,0.2103543378119399,0.0,1.4157883767305162,0.0
case_031,5,651345,0.17589330836202732,0.0,2.136658095917159,0.0
case_032,2,27330,0.05687478308560401,0.0,0.39645730855869843,0.0
case_032,3,21098,0.19879930853504657,0.0,0.7605597085855278,0.0
case_032,4,21098,0.19879930853504657,0.15214267489847533,1.4509245393752197,0.0
case_032,5,21098,0.19879930853504657,1.2305204954138764,0.5548273377146029,0.0
case_033,2,1095006,0.003893500787647275,0.0,0.35784813429156803,0.0
case_033,3,866132,0.007479364188200943,0.0,0.9311808518814435,0.0
case_033,4,744102,0.02667636994821887,0.0,1.5752997566411011,0.0
case_033,5,718217,0.03287621745701452,0.0,2.483525534084274,0.0
case_034,2,509835,0.005352240931300711,0.0,0.3024973616962132,0.0
case_034,3,426024,0.014202512122383437,0.0,0.8566700668363949,0.0
case_034,4,387913,0.022825225966312424,0.0,1.5155142802662724,0.0
case_034,5,393458,0.054367171154289906,0.0,2.289843693319929,0.0
case_035,2,142214,0.006228363705347073,0.5787686197165127,0.0,0.0
case_035,3,142214,0.006228363705347073,0.5784333527376191,0.0,0.0
case_035,4,142214,0.006228363705347073,0.5780982122188922,0.0,0.0
case_035,5,115413,0.007420926564553065,0.0,0.2996817657080315,0.0
case_036,2,477240,0.003010721344375522,0.0,0.04377704646604097,0.0
case_036,3,325581,0.0,0.0,0.13082012280663635,0.0
case_036,4,249743,0.006493008478969831,0.0,0.2515342493301258,0.0
case_036,5,190889,0.0025065409839557518,0.0,0.09413528373824676,0.0
case_037,2,140035,0.02469887737727494,0.0,0.46857985257839574,0.0
case_037,3,105526,0.07787557534261569,0.0,0.7684788797386961,0.0
case_037,4,105526,0.07787557534261569,1.5906380624279133,0.27994936887531985,0.0
case_037,5,105526,0.07787557534261569,2.439317056832899,0.28731037762180733,0.0
case_038,2,846328,0.003909157446337241,0.0,0.38081486727903857,0.0
case_038,3,670053,0.006956310670870991,0.0,0.9738270279844321,0.0
case_038,4,626200,0.010844828633005843,0.0,1.8278913688051848,0.0
case_038,5,616748,0.010890775124629659,0.0,2.736228673268914,0.0
case_039,2,888180,0.01628977061615089,0.0,0.40694543058922994,0.0
case_039,3,882349,0.13224257807662831,0.0,1.1969795582425082,0.0
case_039,4,846699,0.11160479157492476,0.0,1.823874463998647,0.0
case_039,5,817974,0.3051061170060534,0.0,1.5708449485717373,0.0
case_040,2,245781,0.005373150110259406,0.6026243970214615,0.17155734079688512,0.0
case_040,3,152524,0.03125709446672098,0.0,0.6089409573091455,0.0
case_040,4,246629,0.003268863964750457,1.2689618043502946,0.0,0.0
case_040,5,245418,0.0033012553883184914,1.2610444349240668,0.0,0.0
case_041,2,3490429,0.0008460787837845096,0.0,0.258796528261819,0.0
case_041,3,2221140,0.050015232742895765,0.0,0.19775860058278205,0.0
case_041,4,1913892,0.05770054891067122,0.0,0.7059661198948546,0.0
case_041,5,1963515,0.10399659136452621,0.0,1.861298576728212,0.0
case_042,2,948637,0.001219155379627468,0.0,0.20687116205996037,0.0
case_042,3,684680,0.002301331738554957,0.0,0.47649784499264536,0.0
case_042,4,548264,0.004754553112749971,0.0,0.7611772721765044,0.0
case_042,5,471300,0.032033422317328863,0.0,1.038029120159277,0.0
case_043,2,643065,0.028617809532229366,0.756374651210419,0.07718243070097297,0.0
case_043,3,676774,0.003125603447494907,1.516837934769721,0.0024225073521368934,0.0
case_043,4,648761,0.029096468980117196,1.4437259369751567,0.004834646632575268,0.0
case_043,5,639755,0.01851077106485688,1.4357138388275743,0.0053251432231991025,0.0
case_044,2,95186,0.0,0.0,0.0,0.0
case_044,3,98606,0.0026087175677533825,0.0,0.0,0.0
case_044,4,98585,0.005196386004825415,0.0,0.0,0.0
case_044,5,100519,0.010679206324136326,0.0,0.0,0.0
case_045,2,87624,0.00415114769356717,0.0,0.5542993210175582,0.0
case_045,3,72100,0.01964688325610009,0.0,1.1867502063266524,0.0
case_045,4,75462,0.005710688865804281,0.0,2.2701504157890615,0.0
case_045,5,83537,0.06383681910287531,0.0,3.23349451473624,0.0
case_046,2,194053,0.01787783304238122,0.0,0.2975533243709878,0.0
case_046,3,197115,0.004382363330752259,0.4393449567880736,0.09822269565393582,0.0
case_046,4,170438,0.04910300492385988,0.0,0.5473965226629618,0.0
case_046,5,170438,0.04910300492385988,0.2950660578113309,0.2523304648516309,0.0
case_047,2,322121,0.0022106495962002093,0.0,0.0,0.0
case_047,3,322121,0.0022106495962002093,0.0,0.0,0.0
case_047,4,322121,0.0022106495962002093,0.0,0.0,0.0
case_047,5,322121,0.0022106495962002093,0.0,0.0,0.0
case_048,2,218441,0.0,0.0,0.0,0.0
case_048,3,218386,0.0,0.0,0.0,0.14367424215063784
case_048,4,221008,0.00026849433081177487,0.0,0.0021394135664731806,0.2785725215686292
case_048,5,193700,0.0004562336383666654,0.0,0.0,0.12529134511540563
case_049,2,196384,0.0030526755442401576,0.2226448898607507,0.0,0.0
case_049,3,196636,0.0017136257568168833,0.2251271542170673,0.0001376364165408539,0.0
case_049,4,196636,0.0017136257568168833,0.22498954872195143,0.00013760549511587783,0.0
case_049,5,196636,0.0017136257568168833,0.22485197413784153,0.00013757458410990075,0.0
case_050,2,149507,0.0025041677991763933,0.3807392115076569,0.0,0.0
case_050,3,148248,0.008184599861925657,0.3663894160184562,0.0,0.0
case_050,4,149507,0.0025041677991763933,0.38040636683828266,0.0,0.0
case_050,5,149507,0.0025041677991763933,0.38024000451164874,0.0,0.0
case_051,2,607628,0.0,0.0,0.6974982888910617,0.0
case_051,3,607628,0.0,0.0,1.086476983194951,0.0
case_051,4,607628,0.0,0.0,1.3893389118706452,0.0
case_051,5,607628,0.0,0.0,1.3935932182024455,0.0
case_052,2,118900,0.04411194313737954,0.0,0.422923200757211,0.0
case_052,3,111876,0.01287967447156535,0.0,1.327823474786136,0.0
case_052,4,96848,0.024599205747393604,0.0,2.0668127000219068,0.0
case_052,5,95856,0.021755262871794523,0.0,2.9198465285623367,0.0
case_053,2,817566,0.2119497081325774,0.0,0.0,0.0
case_053,3,628059,0.2015630513377804,0.0,0.16995182370876094,0.0
case_053,4,634341,0.4562195877577859,0.0,0.21403395062224995,0.0
case_053,5,644191,0.019567319849993492,0.0,0.6861846327912908,0.0
case_054,2,809333,0.0016776378749936427,0.5648363259326572,0.0,0.0
case_054,3,809333,0.0016776378749936427,0.5647573410661508,7.898486650637082e-05,0.0
case_054,4,809333,0.0016776378749936427,0.5646692519150189,8.808915113189819e-05,0.0
case_054,5,809333,0.0016776378749936427,0.5643109218876197,0.00035833002739926734,0.0
case_055,2,88012,0.019816021881859713,0.0,0.473488156830856,0.0
case_055,3,85195,0.019910897721435505,0.0,1.2082299179701952,0.0
case_055,4,83685,0.025249384985144285,0.0,1.6487400024825165,0.0
case_055,5,82783,0.01904652499823345,0.0,2.467659518932866,0.0
case_056,2,275117,0.0006415136633932672,0.03504073325392354,0.0,0.0
case_056,3,275404,0.0010503175023266476,0.03561155762017676,7.068929714004746e-05,0.0
case_056,4,275404,0.0010503175023266476,0.0355408778991535,7.067972102325903e-05,0.0
case_056,5,275404,0.0010503175023266476,0.03547020775230103,7.067014685246953e-05,0.0
case_057,2,57084,0.02730806799165353,0.5976743362690986,0.3075309355875313,0.0
case_057,3,58207,0.006814261846648906,1.1731171440213861,0.6785893187430152,0.0
case_057,4,59363,0.0,1.69373138677581,0.9232049518761829,0.0
case_057,5,59363,0.0,3.145271748452136,0.10624093341878726,0.0
case_058,2,2842183,0.0027393087661859994,0.0,0.43258945900503676,0.0
case_058,3,2556909,0.004672956366400527,0.0,1.2474888855602175,0.0
case_058,4,2804920,0.0038509130892532273,0.0,2.249290935883666,0.0
case_058,5,2637591,0.007692556386713623,0.0,2.2852743607759463,0.0
case_059,2,401731,0.002681222667539007,0.0,0.17853023854055872,0.0
case_059,3,295993,0.0038965894648610444,0.0,0.30954122053186905,0.0
case_059,4,216944,0.15116571950715318,0.0,0.5038003570921958,0.0
case_059,5,216944,0.06652303675255933,1.1949571730687056,0.4162175937490318,0.0
case_060,2,559996,0.010030840724861267,0.0,0.3187947451577313,0.0
case_060,3,563566,0.016190944952084063,0.0,1.2669160783027278,0.0
case_060,4,563566,0.016190944952084063,0.0,2.089621942033604,0.0
case_060,5,563566,0.016190944952084063,2.7564583160828153,0.18261860522861806,0.0
case_061,2,76942,0.017471234122686807,0.3454807710417178,0.4510112824432364,0.0
case_061,3,52538,0.009796818858895717,0.0,1.0682674173956028,0.0
case_061,4,49039,0.1914219350441817,0.0,1.4475829565887202,0.0
case_061,5,43318,0.012510515051020521,0.0,1.6696488056393213,0.0
case_062,2,1549192,0.018167445643103575,0.0,0.0,0.0
case_062,3,1065193,0.03860091369429819,0.0,0.0,0.0
case_062,4,856235,0.06911971561998609,0.0,0.0,0.0
case_062,5,714795,0.09654465695484982,0.0,0.0,0.0
case_063,2,583695,0.000832944427880733,0.0,0.0,0.0
case_063,3,407408,0.06324114943776049,0.0,0.0,0.0
case_063,4,315863,0.10595018043719717,0.0,0.0,0.0
case_063,5,263180,0.1535748284316245,0.0,0.0,0.0
case_064,2,18992,0.006453818920523435,0.0,0.0,0.0
case_064,3,18992,0.003510034781854632,0.0,0.0,0.0
case_064,4,18992,0.003510034781854632,0.0,0.0,0.0
case_064,5,18992,0.003510034781854632,0.0,0.0,0.0
