case,cores,a_new_makespan,b_makespan,b_speedup,b_added_bytes,b_copy_amplification,b_active,b_groups,b_source,b_peak_L1,b_peak_UB,b_calls,b_valid,b_errors,b_cycle_errors,l2_makespan,l2_speedup,paired_makespan,cache_gain,paired_hit_rate,selected_hit_rate,selected_added_bytes,selected_source,l2_extra_search_gain,l2_calls,l2_errors
case_001,2,116868,116868,1.9946435294520313,1152,1.0007026309626044,2,600,fixed_1,13440,8192,72,56,16,0,116868,1.9946435294520313,116868,1.0,0.0,0.0,1152,b_candidate_fixed_2,1.0,73,16
case_001,3,78545,78545,2.9678528232223567,2304,1.0014052619252087,3,600,fixed_1,13440,8192,72,56,16,0,78545,2.9678528232223567,78545,1.0,0.0,0.0,2304,b_candidate_local1_fixed_1_merge_0_1,1.0,73,16
case_001,4,58984,58984,3.952088702020887,3456,1.0021078928878133,4,600,fixed_1,13440,8192,72,56,16,0,58984,3.952088702020887,58984,1.0,0.0,0.0,3456,b_candidate_fixed_2,1.0,73,16
case_001,5,47502,47502,4.9073723211654245,4608,1.0028105238504177,5,24,a_selected,13440,8192,72,72,0,0,47502,4.9073723211654245,47502,1.0,0.0,0.0,4608,b_candidate_fixed_1,1.0,73,16
case_002,2,142820,137650,1.9029785688339993,537600,1.4391468005018822,2,75,fixed_24,7680,109056,72,67,5,3,137650,1.9029785688339993,137650,1.0,0.0,0.0,537600,b_candidate_local1_fixed_24_merge_0_2,1.0,73,5
case_002,3,101777,93427,2.803739818253824,565248,1.4617314930991216,3,75,fixed_24,7680,78336,72,70,2,0,93427,2.803739818253824,93427,1.0,0.0,0.0,565248,b_candidate_local1_fixed_24_merge_0_3,1.0,73,2
case_002,4,80206,72103,3.6329278948171364,771072,1.629861982434128,4,75,fixed_24,7680,58368,72,72,0,0,72103,3.6329278948171364,72103,1.0,0.0,0.0,771072,b_candidate_local1_fixed_24_merge_0_4,1.0,73,0
case_002,5,64475,58897,4.447510059935141,743424,1.6072772898368883,5,75,fixed_24,7680,41472,72,72,0,0,58897,4.447510059935141,58897,1.0,0.0,0.0,743424,b_candidate_local1_fixed_24_merge_0_5,1.0,73,0
case_003,2,538381,462126,1.3031337773680771,1017822,1.7925333109080377,2,840,local1_fixed_16_merge_835_836,126976,43142,44,29,15,9,461331,1.3053794347225744,462108,1.0000389519333144,0.1568961405788104,0.1568961405788104,1017822,local1_paired_b_plan_split_6_1,1.0016842570735545,45,13
case_003,3,538381,391667,1.537561244628728,4079068,4.176191188104626,3,3364,fixed_4,116736,25126,44,35,9,8,391315,1.5389443287377178,391315,1.0008995310683209,0.27944926976092843,0.27944926976092843,4079068,b_candidate_local1_fixed_4_merge_3347_3348,1.0,45,9
case_003,4,538764,366574,1.6428115469182212,4553662,4.545736702111093,4,3364,fixed_4,116736,24614,44,29,15,15,366066,1.6450913223298531,366066,1.0013877278960626,0.3242646888878289,0.3242646888878289,4553662,b_candidate_local1_fixed_4_split_3336_1,1.0,45,13
case_003,5,539155,355037,1.6961950444601548,4995328,4.88964262799549,5,3364,fixed_4,116736,25126,44,33,11,11,353767,1.7022842718512468,353767,1.0035899334872953,0.3383384501227245,0.3383384501227245,4995328,b_candidate_local1_fixed_4_split_3336_1,1.0,45,9
case_004,2,199074,199002,1.9716234007698414,138240,1.1744186046511629,2,389,local1_fixed_2_move_14_1_0,125952,12288,72,51,21,0,197790,1.9837049395823854,199002,1.0,0.005319148936170213,0.005319148936170213,138240,local1_b_candidate_local1_fixed_2_move_28_1_0_merge_28_7,1.0061277112088578,73,20
case_004,3,134043,135632,2.8928055326176714,248832,1.313953488372093,3,389,local1_fixed_2_move_21_2_0,125952,12288,72,51,21,0,135284,2.900246888028148,135632,1.0,0.004464285714285714,0.004464285714285714,248832,local1_b_candidate_local1_fixed_2_move_42_2_0_swap_0_13,1.0025723662813044,73,18
case_004,4,104188,104188,3.765855952700887,331776,1.4186046511627908,4,389,fixed_2,125952,12288,72,51,21,0,104164,3.76672362812488,104188,1.0,0.0,0.0,331776,local1_b_candidate_fixed_4_swap_0_6,1.000230405898391,73,10
case_004,5,88341,86609,4.530210486208131,470016,1.5930232558139534,5,389,local1_fixed_2_move_35_1_0,125952,12288,72,51,21,0,86424,4.539907895954827,86609,1.0,0.0033783783783783786,0.0033783783783783786,470016,local1_b_candidate_local1_fixed_2_move_35_2_0_swap_0_6,1.0021406090900675,73,19
case_005,2,93418,65546,1.458792298538431,623782,2.870893243834992,2,1028,local1_fixed_4_merge_327_328,32544,30772,72,50,22,12,65304,1.464198211441872,65387,1.0024316760212275,0.17449048696769562,0.17449048696769562,623782,local1_paired_b_plan_merge_327_329,1.0012709788068113,73,22
case_005,3,93760,61629,1.5515098411462136,1037164,4.11073920111333,3,1029,local1_fixed_4_swap_0_7,30048,26934,72,54,18,9,60994,1.5676623930222644,60994,1.0104108600845985,0.31654565789828626,0.31654565789828626,1037164,b_candidate_fixed_4,1.0,73,18
case_005,4,93760,60498,1.5805150583490364,1288690,4.865134637417745,4,1029,local1_fixed_4_swap_0_8,30048,16564,72,54,18,12,59190,1.615441797600946,59193,1.0220465257716285,0.3786212590151748,0.38616934590394775,1288690,local1_paired_b_plan_swap_0_6,1.0000506842372023,73,18
case_005,5,93760,60063,1.5919617734711886,1404760,5.213260390985382,5,1029,local1_fixed_4_swap_0_7,27744,13924,72,51,21,15,58151,1.644305342986363,58151,1.0328799160805489,0.425082340425176,0.425082340425176,1404760,local1_paired_b_plan_merge_1002_1003,1.0,73,21
case_006,2,44168,38049,2.1771137217798104,44,1.0000809794091448,2,30,local1_fixed_24_split_15_1,196608,122900,72,55,17,3,38049,2.1771137217798104,38049,1.0,0.0,0.0,44,local1_paired_b_plan_merge_1_2,1.0,73,15
case_006,3,32509,36873,2.246548965367613,29092,1.0535421129736375,3,43,fixed_16,180224,122902,72,58,14,4,36873,2.246548965367613,36873,1.0,0.03494618920965952,0.03494618920965952,29092,b_candidate_local1_fixed_16_merge_10_11,1.0,73,12
case_006,4,28395,34312,2.4142282583352763,314848,1.5794592047822023,4,85,local1_fixed_8_move_13_1_0,81920,73740,72,56,16,4,32264,2.5674745846764195,34312,1.0,0.1595181223387683,0.1595181223387683,314848,local1_b_candidate_local2_fixed_8_split_8_1_merge_48_49,1.0634763203570543,73,15
case_006,5,25968,30430,2.722214919487348,526640,1.9692499098183853,5,339,local1_fixed_2_move_193_1_18,49152,65542,72,42,30,12,29110,2.845654414290622,29653,1.026203082318821,0.3202176891959531,0.33702644599617626,526640,local1_paired_b_plan_swap_0_16,1.0186533837169358,73,31
case_007,2,507494,507154,1.9965572587419207,41472,1.023936170212766,2,1943,local1_fixed_2_move_14_1_0,35328,6144,72,51,21,0,506786,1.9980070483399304,507154,1.0,0.0016778523489932886,0.0016778523489932886,41472,local1_b_candidate_local1_fixed_2_move_28_1_0_merge_28_7,1.000726144763273,73,20
case_007,3,338094,339086,2.986151005939496,69120,1.0398936170212767,3,1943,local1_fixed_2_move_21_2_0,35328,6144,72,51,21,0,338726,2.9893247049237437,339086,1.0,0.0016286644951140066,0.0016286644951140066,69120,local1_b_candidate_local1_fixed_2_move_42_2_0_swap_0_13,1.0010628059257334,73,18
