case,speedup,makespan,active_cores,subgraphs,critical_compute_lower_bound,pipe_work_lower_bound,original_ddr_lower_bound,lower_bound,loose_speedup_upper_bound
case_003,1.1169552355074144,539155,4,4,28285,87758.4,21404.4,87758.4,6.862157924483583
case_005,1.019816552901024,93760,1,7,6894,12776.4,5556.9,12776.4,7.4839547916471
case_047,1.0158297554601456,321420,1,18,19990,51874.0,7732.366666666667,51874.0,6.294251455449744
case_048,1.2729855756561987,174566,5,1245,75960,27907.2,6913.166666666667,75960,2.9254870984728805
case_049,1.2248723805244568,160242,4,4,8921,33143.0,2542.3333333333335,33143.0,5.922095163382917
case_050,1.3839681952662721,108160,5,23,6829,26682.2,5322.933333333333,26682.2,5.610107112606906
case_056,1.0434211615602869,265746,4,4,13737,49190.6,3693.3333333333335,49190.6,5.636950962175701
case_064,1.0100390996512734,18926,1,3,3528,3148.8,623.5666666666667,3528,5.418367346938775
case_066,1.4448276000820857,248521,5,28,32240,53938.8,18450.566666666666,53938.8,6.65698903201406
case_068,1.193606977802098,303362,5,34,48319,49820.2,46187.5,49820.2,7.268035856941562
case_069,1.0315063997374467,24376,2,9,2298,3334.8,2100.9,3334.8,7.539882451721242
case_071,1.008206767918998,18765,1,2,2298,2506.8,2024.1,2506.8,7.54707196425722
case_082,1.2517833860811687,576011,5,1027,54690,113587.2,9866.766666666666,113587.2,6.347907158553077
case_086,1.03389771308319,114521,1,5,6894,15836.4,5633.7,15836.4,7.476636104165088
case_088,1.2023758994758609,202618,5,31,32229,34721.6,30496.633333333335,34721.6,7.0164681351089815
