case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,233110,116868,1.9946435294520313,1152,fixed_1,4.173,,,,,,,
case_001,3,233110,78545,2.9678528232223567,2304,fixed_1,3.951,,,,,,,
case_001,4,233110,58984,3.952088702020887,3456,fixed_1,3.988,,,,,,,
case_001,5,233110,47502,4.9073723211654245,4608,a_selected,4.699,,,,,,,
case_002,2,261945,137650,1.9029785688339993,537600,fixed_24,15.3,,,,,,,
case_002,3,261945,93427,2.803739818253824,565248,fixed_24,14.581,,,,,,,
case_002,4,261945,72103,3.6329278948171364,771072,fixed_24,14.93,,,,,,,
case_002,5,261945,58897,4.447510059935141,743424,fixed_24,14.402,,,,,,,
case_003,2,602212,462126,1.3031337773680771,1017822,local1_fixed_16_merge_835_836,134.213,,,,,,,
case_003,3,602212,391667,1.537561244628728,4079068,fixed_4,149.241,,,,,,,
case_003,4,602212,366574,1.6428115469182212,4553662,fixed_4,146.053,,,,,,,
case_003,5,602212,355037,1.6961950444601548,4995328,fixed_4,143.861,,,,,,,
case_004,2,392357,199002,1.9716234007698414,138240,local1_fixed_2_move_14_1_0,4.865,,,,,,,
case_004,3,392357,135632,2.8928055326176714,248832,local1_fixed_2_move_21_2_0,4.694,,,,,,,
case_004,4,392357,104188,3.765855952700887,331776,fixed_2,4.712,,,,,,,
case_004,5,392357,86609,4.530210486208131,470016,local1_fixed_2_move_35_1_0,4.657,,,,,,,
case_005,2,95618,65546,1.458792298538431,623782,local1_fixed_4_merge_327_328,34.701,,,,,,,
case_005,3,95618,61629,1.5515098411462136,1037164,local1_fixed_4_swap_0_7,34.083,,,,,,,
case_005,4,95618,60498,1.5805150583490364,1288690,local1_fixed_4_swap_0_8,36.001,,,,,,,
case_005,5,95618,60063,1.5919617734711886,1404760,local1_fixed_4_swap_0_7,35.123,,,,,,,
case_006,2,82837,38049,2.1771137217798104,44,local1_fixed_24_split_15_1,3.869,,,,,,,
case_006,3,82837,36873,2.246548965367613,29092,fixed_16,4.222,,,,,,,
case_006,4,82837,34312,2.4142282583352763,314848,local1_fixed_8_move_13_1_0,4.278,,,,,,,
case_006,5,82837,30430,2.722214919487348,526640,local1_fixed_2_move_193_1_18,4.221,,,,,,,
case_007,2,1012562,507154,1.9965572587419207,41472,local1_fixed_2_move_14_1_0,38.911,,,,,,,
case_007,3,1012562,339086,2.986151005939496,69120,local1_fixed_2_move_21_2_0,35.783,,,,,,,
case_007,4,1012562,255390,3.964767610321469,96768,local1_fixed_2_move_28_2_0,34.634,,,,,,,
case_007,5,1012562,205580,4.925391575055939,110592,fixed_2,33.081,,,,,,,
case_008,2,487605,244266,1.9962049568912579,0,a_selected,8.515,,,,,,,
case_008,3,487605,163359,2.984867684057811,0,a_selected,8.484,,,,,,,
case_008,4,487605,123060,3.962335446123842,0,a_selected,8.36,,,,,,,
case_008,5,487605,100500,4.851791044776119,0,local1_fixed_1_swap_0_15,6.817,,,,,,,
case_009,2,153261,106315,1.4415745661477684,556948,local1_fixed_4_split_1358_1,42.176,,,,,,,
case_009,3,153261,95404,1.6064420779002977,704602,local1_fixed_4_split_1358_1,39.846,,,,,,,
case_009,4,153261,87646,1.7486365607101293,859618,local1_fixed_4_move_1355_3_0,39.827,,,,,,,
case_009,5,153261,80068,1.9141354848378878,968808,local1_fixed_4_split_1358_1,37.526,,,,,,,
case_010,2,86969,51402,1.691938056884946,419900,local1_fixed_1_swap_0_19,3.561,,,,,,,
case_010,3,86969,42369,2.052656423328377,412024,local1_fixed_1_merge_289_295,3.653,,,,,,,
case_010,4,86969,36170,2.4044512026541334,552900,local1_fixed_1_swap_0_13,3.759,,,,,,,
case_010,5,86969,31002,2.8052706277014385,671724,fixed_1,3.929,,,,,,,
case_011,2,184697,92646,1.9935777043801135,180224,fixed_2,3.571,,,,,,,
case_011,3,184697,69625,2.6527396768402154,909312,local1_fixed_2_move_129_2_0,3.927,,,,,,,
case_011,4,184697,46880,3.9397824232081913,540672,fixed_2,3.723,,,,,,,
case_011,5,184697,46880,3.9397824232081913,1081344,fixed_4,4.707,,,,,,,
case_012,2,59088,39013,1.5145720657216826,255682,local1_fixed_4_move_11_0_0,7.646,,,,,,,
case_012,3,59088,26191,2.256042151884235,132992,local2_a_selected_split_0_1,6.6,,,,,,,
case_012,4,59088,26397,2.2384361859302193,173320,local1_a_selected_move_3_1_0,6.843,,,,,,,
case_012,5,59088,26597,2.221603940294018,173320,local1_a_selected_move_3_4_0,7.133,,,,,,,
case_013,2,263949,132198,1.9966187083011846,8192,fixed_24,20.803,,,,,,,
case_013,3,263949,88351,2.98750438591527,16384,fixed_16,19.964,,,,,,,
case_013,4,263949,66982,3.9405959810098237,24576,fixed_4,18.583,,,,,,,
case_013,5,263949,54363,4.855305998565201,32768,fixed_4,18.25,,,,,,,
case_014,2,17698626,8958679,1.9755843467546945,77130512,local1_fixed_16_move_61_1_0,940.606,,,,,,,
case_014,3,17698626,6040782,2.9298567635779604,77728796,local1_fixed_16_move_206_0_0,831.03,,,,,,,
case_014,4,17698626,4601282,3.8464554009078338,78842408,local1_fixed_16_move_264_0_0,766.367,,,,,,,
case_014,5,17698626,3829456,4.621707626357373,79754112,local1_fixed_16_move_264_0_0,743.16,,,,,,,
case_015,2,177362,94288,1.8810665195995249,311404,local1_a_selected_merge_0_2,7.582,,,,,,,
case_015,3,177362,91805,1.9319427046457165,1820888,local1_fixed_1_swap_0_5,8.275,,,,,,,
case_015,4,177362,79873,2.2205501233207716,2235226,local1_fixed_1_move_28_0_0,8.94,,,,,,,
case_015,5,177362,75499,2.3491966781016966,2365878,fixed_1,8.228,,,,,,,
case_016,2,7715523,4027025,1.9159362060081573,404200,fixed_1,227.549,,,,,,,
case_016,3,7715523,3030137,2.5462620997004426,609332,fixed_1,239.158,,,,,,,
