case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,5,233110,47502,4.9073723211654245,4608,,,a_selected,0.078,,,,,,,
case_001,2,233110,116868,1.9946435294520313,1152,,,fixed_1,0.078,,,,,,,
case_001,3,233110,78545,2.9678528232223567,2304,,,fixed_1,0.078,,,,,,,
case_001,4,233110,58984,3.952088702020887,3456,,,fixed_1,0.079,,,,,,,
case_002,5,261945,57833,4.529334463022842,632832,632832,0,round3_round2_round1_polish_seed_reference_a_refine1_merge_35_36_critical_order_boundary_1999_0_boundary_2000_0_boundary_2002_1,0.125,,,,,,,
case_002,2,261945,132316,1.979692554188458,3251712,2483712,768000,round3_round2_round1_structure_affinity_4096_bundle_2_memory_order_merge_1400_1401_boundary_20_1196,0.11,,,,,,,
case_002,3,261945,90809,2.8845709125747447,669696,669696,0,round5_round4_round3_round2_round1_structure_affinity_4096_bundle_3_move_1401_0_476_merge_1397_1401_merge_1394_1397_swap_0_10_tensorlocal_1000000063_1,0.125,,,,,,,
case_002,4,261945,70425,3.719488817891374,583680,583680,0,round7_round4_round3_round2_round1_polish_seed_reference_fixed_24_placement_boundary_1999_0_boundary_2002_2_boundary_90_66_boundary_2004_3_boundary_2007_5,0.125,,,,,,,
case_003,5,602212,280288,2.148547208585455,12911172,12911172,0,round2_round1_structure_chains_32_boundary_13533_9782_boundary_13532_9700,0.687,,,,,,,
case_003,2,602212,341263,1.7646565845110662,6563284,6563284,0,round3_round2_round1_structure_chains_32_swap_0_1_boundary_13581_9774_swap_0_0,0.688,,,,,,,
case_003,3,602212,275946,2.1823545186377045,9581852,9581852,0,round2_round1_structure_chains_32_move_8131_2_1613_boundary_13533_9782,0.672,,,,,,,
case_003,4,602212,267957,2.24742029504734,11062890,11062890,0,round1_structure_chains_8_merge_8129_8133,0.718,,,,,,,
case_004,5,392357,85158,4.60740036168064,470016,470016,0,polish_seed_reference_local1_fixed_2_move_35_1_0_critical_order,0.094,,,,,,,
case_004,2,392357,197572,1.9858937501265361,1167360,970752,196608,round6_round5_round2_round1_polish_seed_reference_local1_fixed_2_move_14_1_0_placement_boundary_18_5_boundary_49_20_worksplit_363_1_194_boundary_145_62,0.063,,,,,,,
case_004,3,392357,134043,2.927098020784375,221184,221184,0,round1_seed_reference_a_affinity_64_bundle_3_split_0_1,0.062,,,,,,,
case_004,4,392357,102024,3.8457323766956795,359424,359424,0,round2_round1_polish_seed_reference_fixed_2_memory_order_merge_168_196_splitmove_168_389_3_0,0.093,,,,,,,
case_005,5,95618,39919,2.395300483479045,1344888,1344888,0,fork_separators_3,0.219,,,,,,,
case_005,2,95618,63706,1.5009261294069631,814470,814470,0,round3_round2_round1_polish_seed_reference_local1_fixed_4_merge_327_328_placement_swap_0_0_boundary_2688_654_boundary_695_3,0.203,,,,,,,
case_005,3,95618,61356,1.5584131951235414,1037164,1037164,0,round3_round2_round1_seed_reference_local1_fixed_4_swap_0_7_boundary_115_3_boundary_116_3_boundary_696_3,0.219,,,,,,,
case_005,4,95618,60426,1.5823983053652402,1279474,1279474,0,round2_round1_seed_reference_local1_fixed_4_swap_0_8_boundary_115_3_boundary_116_3,0.234,,,,,,,
case_006,5,82837,20406,4.059443300989905,372608,372608,0,round5_round1_structure_affinity_64_bundle_0_boundary_45_74_tensorlocal_614_1,0.078,,,,,,,
case_006,2,82837,37929,2.184001687363231,52,52,0,round3_round2_round1_polish_seed_reference_local1_fixed_24_split_15_1_placement_boundary_129_25_boundary_125_25_boundary_123_25,0.063,,,,,,,
case_006,3,82837,26858,3.0842579492143867,408416,408416,0,round6_round5_round2_round1_structure_affinity_4096_bundle_3_tensorlocal_720_0_swap_0_0_boundary_1025_84_boundary_596_6,0.078,,,,,,,
case_006,4,82837,22960,3.607883275261324,530932,530932,0,polish_seed_reference_a_affinity_64_bundle_3_placement,0.078,,,,,,,
case_007,5,1012562,203834,4.967581463347626,110592,110592,0,round1_seed_reference_a_affinity_64_bundle_5_split_0_1,0.187,,,,,,,
case_007,2,1012562,506786,1.9980070483399304,41472,41472,0,round1_seed_reference_local1_fixed_2_move_14_1_0_merge_14_7,0.219,,,,,,,
case_007,3,1012562,338094,2.994912657426633,55296,55296,0,round1_seed_reference_a_affinity_64_bundle_3_split_0_1,0.187,,,,,,,
case_007,4,1012562,254398,3.980227831979811,82944,82944,0,round1_seed_reference_a_affinity_64_bundle_4_split_0_1,0.219,,,,,,,
case_008,5,487605,54403,8.962832932007426,0,0,0,polish_seed_reference_local1_fixed_1_swap_0_15_memory_order,0.109,,,,,,,
case_008,2,487605,127794,3.8155547208789145,0,0,0,round1_fixed_1_memory_order,0.079,,,,,,,
case_008,3,487605,86415,5.642596771393856,0,0,0,round1_fixed_1_memory_order,0.093,,,,,,,
case_008,4,487605,65880,7.401411657559199,0,0,0,round1_fixed_1_memory_order,0.094,,,,,,,
case_009,5,153261,73549,2.083794477151287,933680,933680,0,round1_polish_seed_reference_local1_fixed_4_split_1358_1_placement_boundary_5689_1349,0.25,,,,,,,
case_009,2,153261,91447,1.6759543779456954,0,0,0,round5_round3_round2_round1_seed_reference_a_affinity_64_bundle_2_split_0_1_split_2_1_split_3_1_split_4_1,0.234,,,,,,,
case_009,3,153261,91857,1.6684738234429604,0,0,0,round2_round1_seed_reference_a_affinity_64_bundle_2_split_0_1_split_2_1,0.25,,,,,,,
case_009,4,153261,80048,1.9146137317609435,781462,781462,0,round4_round3_round2_round1_polish_seed_reference_local1_fixed_4_move_1355_3_0_placement_boundary_5687_1350_boundary_5326_1331_boundary_5330_1331_boundary_5387_1333,0.281,,,,,,,
