scene,cores,count,mean_speedup,mean_paired_l2_speedup
A,1,100,1,
A,5,100,3.680987029431362,
A,2,100,1.8247485989180003,
A,3,100,2.525553836656227,
A,4,100,3.153486289421956,
B,1,100,1,
B,5,100,4.05382193221817,
B,2,100,2.0019229008483634,
B,3,100,2.771136369931587,
B,4,100,3.461345176423512,
L2,1,100,1,1.0086217156663206
L2,5,100,4.19558784358303,1.024630916150165
L2,2,100,2.017916807988946,1.0025960062299504
L2,3,100,2.8132387853655363,1.0084051684068738
L2,4,100,3.544197056472438,1.0137043659161145
