case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,5,233110,47502,4.9073723211654245,4608,4608,0,seed_reference_a_affinity_64_bundle_5,0.078,,,,,,,
case_002,5,261945,61944,4.228738860906625,640512,640512,0,depth_islands_8,2.515,,,,,,,
case_003,5,602212,213696,2.8180780173704703,7371210,7371210,0,fork_separators_3,30.891,,,,,,,
case_004,5,392357,88341,4.441391879195391,442368,442368,0,seed_reference_a_affinity_64_bundle_5,1.0,,,,,,,
case_005,5,95618,55047,1.7370247243264847,1804938,1804938,0,fork_separators_3,3.75,,,,,,,
case_006,5,82837,25014,3.3116254897257535,492494,492494,0,round2_round1_seed_reference_a_affinity_64_bundle_4_merge_35_5_worksplit_6_1_7,1.453,,,,,,,
case_007,5,1012562,203834,4.967581463347626,110592,110592,0,seed_reference_a_affinity_64_bundle_5,0.203,,,,,,,
case_008,5,487605,100603,4.846823653370178,0,0,0,seed_reference_a_affinity_64_bundle_5,0.094,,,,,,,
case_009,5,153261,67145,2.282537791347085,1147578,1147578,0,fork_separators_3,10.891,,,,,,,
case_010,5,86969,21260,4.0907337723424275,358262,358262,0,round1_seed_reference_a_affinity_64_bundle_4_move_4_2_0,1.109,,,,,,,
case_011,5,184697,46880,3.9397824232081913,540672,,,a_affinity_64_bundle_4,1.765,,,,,,,
case_012,5,59088,13406,4.407578696106221,53568,53568,0,seed_reference_a_affinity_64_bundle_5,3.36,,,,,,,
case_013,5,263949,54363,4.855305998565201,32768,32768,0,seed_reference_a_affinity_64_bundle_5,0.141,,,,,,,
case_014,5,17698626,3678370,4.811540437748242,148864992,147321312,1543680,round4_round3_round2_round1_seed_reference_a_affinity_64_bundle_0_batchmerge_4_move_220_1_0_merge_262_281_worksplit_0_2_66,1.375,,,,,,,
case_015,5,177362,40931,4.3331948889594685,354816,354816,0,round5_round4_round3_round2_round1_polish_seed_reference_components_total_critical_order_batchmerge_4_merge_15_42_merge_17_35_merge_17_21_placement,3.938,,,,,,,
case_016,5,7715523,3222794,2.394047835511671,119555954,119555954,0,round1_seed_reference_a_affinity_64_bundle_5_split_12_2,73.109,,,,,,,
case_017,5,162810,33154,4.910719671834469,388910,388910,0,round3_round2_round1_seed_reference_a_affinity_64_bundle_5_split_0_1_split_0_1_split_0_1,0.11,,,,,,,
case_018,5,1004367,200515,5.008936987257811,7372560,7372560,0,round6_round4_round3_round2_round1_structure_affinity_64_bundle_0_batchmerge_4_merge_19_38_merge_20_39_merge_19_57_batchmerge_2,0.156,,,,,,,
case_019,5,81144,22526,3.6022374145431946,238728,238728,0,depth_islands_16,1.531,,,,,,,
case_020,5,532746,107650,4.948871342313051,0,0,0,seed_reference_a_affinity_64_bundle_5,0.297,,,,,,,
case_021,5,6567937,1247835,5.2634659229785985,13969408,13875200,94208,round4_round3_round2_round1_structure_components_total_batchmerge_4_merge_1_21_merge_0_20_merge_0_40,0.219,,,,,,,
case_022,5,56780,11775,4.82208067940552,20736,20736,0,round3_round2_round1_seed_reference_components_total_batchmerge_4_merge_0_26_merge_2_23,0.109,,,,,,,
case_023,5,122614,24517,5.001182852714443,270912,270912,0,seed_reference_a_affinity_64_bundle_5,0.093,,,,,,,
case_024,5,2555343,1067126,2.394602886631944,39327650,39327650,0,round1_seed_reference_a_affinity_64_bundle_5_split_12_2,11.047,,,,,,,
case_025,5,4863026,975282,4.986276789687495,110592,110592,0,fork_separators_3,140.86,,,,,,,
case_026,5,99203,31278,3.1716541978387367,848100,848100,0,round5_round1_seed_reference_a_affinity_64_bundle_4_merge_21_8_placement,0.938,,,,,,,
case_027,5,2363952,517990,4.56370200196915,11034624,11034624,0,depth_islands_32,4.703,,,,,,,
case_028,5,43836040,8908297,4.920810341190914,333663888,333332112,331776,round4_round3_round2_round1_seed_reference_a_refine1_merge_3_4_batchmerge_2_worksplit_0_2_0_worksplit_12_4_0_merge_0_3,0.859,,,,,,,
case_029,5,37555,9383,4.002451241607162,0,0,0,seed_reference_a_affinity_64_bundle_5,2.204,,,,,,,
case_030,5,2808034,561081,5.0046855979796145,11112684,7550188,3562496,round1_seed_reference_a_affinity_64_bundle_5_split_1_1,0.422,,,,,,,
case_031,5,1414369,304683,4.6421001499919585,11748888,11748888,0,round2_round1_seed_reference_a_affinity_64_bundle_0_batchmerge_4_merge_0_46,27.313,,,,,,,
case_032,5,41443,10027,4.133140520594395,43152,43152,0,round1_structure_affinity_64_bundle_0_batchmerge_2,3.437,,,,,,,
case_033,5,1774196,355406,4.99202602094506,7895232,6589120,1306112,round3_round2_round1_seed_reference_a_affinity_64_bundle_5_merge_0_7_merge_0_11_swap_1_0,0.172,,,,,,,
case_034,5,842996,170371,4.948001713906709,3621888,3572736,49152,depth_islands_32,29.594,,,,,,,
case_035,5,169571,68055,2.4916758504151053,1398426,1398426,0,fork_separators_3,13.39,,,,,,,
case_036,5,931510,187182,4.976493466252097,4608,4608,0,seed_reference_a_affinity_64_bundle_5,0.157,,,,,,,
case_037,5,210001,43800,4.794543378995434,1925120,1925120,0,seed_reference_a_affinity_64_bundle_5,0.094,,,,,,,
case_038,5,1364555,275133,4.959619529463932,9676800,8567808,1108992,seed_reference_a_affinity_64_bundle_5,0.281,,,,,,,
case_039,5,1435262,395323,3.6306058590064327,17604608,,,a_affinity_64_bundle_4,11.297,,,,,,,
case_040,5,253454,110033,2.3034362418547163,920376,920376,0,fork_separators_4,11.047,,,,,,,
case_041,5,6003957,1194663,5.025649074257761,37487616,22382592,15105024,round1_seed_reference_a_affinity_64_bundle_5_swap_0_0,0.704,,,,,,,
case_042,5,1686740,342520,4.924500759079762,10187328,7253568,2933760,depth_islands_64,51.469,,,,,,,
case_043,5,677656,205149,3.303238134234142,6052388,6052388,0,fork_separators_3,36.562,,,,,,,
case_044,5,154407,96266,1.60396193879459,222336,210048,12288,round5_round4_round3_round2_round1_seed_reference_a_refine1_merge_14_15_merge_3_4_merge_10_11_batchmerge_2_merge_0_2_batchmerge_2,4.375,,,,,,,
case_045,5,125614,26164,4.801024308209754,0,0,0,seed_reference_a_affinity_64_bundle_5,0.11,,,,,,,
case_046,5,276455,100132,2.7609056046019256,3931104,3069728,861376,round2_round1_seed_reference_a_affinity_64_bundle_4_worksplit_0_4_0_worksplit_2_0_1,2.563,,,,,,,
case_047,5,326508,130017,2.5112716029442304,3061354,3061354,0,fork_separators_3,36.484,,,,,,,
case_048,5,222220,150454,1.476996291225225,1110490,1110490,0,depth_islands_8,5.969,,,,,,,
case_049,5,196276,60840,3.226101249178172,1101054,1101054,0,fork_separators_3,14.109,,,,,,,
case_050,5,149690,51668,2.8971510412634514,1044778,1044778,0,fork_separators_3,15.5,,,,,,,
case_051,5,607628,252724,2.4043145882464665,9045400,9045400,0,round3_round2_round1_seed_reference_a_affinity_64_bundle_5_split_12_2_splitmove_0_145_2_0_split_18_2,1.469,,,,,,,
case_052,5,180301,37262,4.8387365144114645,355360,355360,0,round2_round1_seed_reference_a_affinity_64_bundle_5_split_0_1_split_0_1,0.109,,,,,,,
case_053,5,1472686,441970,3.332094938570491,12362794,9024970,3337824,fork_separators_3,26.609,,,,,,,
