scene,cores,v4_speedup,v5_speedup,speedup_delta_pct,v5_win,v5_lose,tie,win_rate_pct,mean_makespan_ratio,mean_gain_pct
A,2,1.4915,1.4977,0.42,75,22,3,77.3,1.0071,0.71
A,3,1.8363,1.8503,0.76,82,17,1,82.8,1.0132,1.32
A,4,2.115,2.1235,0.4,79,17,4,82.3,1.0122,1.22
A,5,2.3016,2.2864,-0.66,76,17,7,81.7,1.0034,0.34
B,2,1.7683,1.7841,0.89,61,12,27,83.6,1.0089,0.89
B,3,2.3417,2.3732,1.35,65,13,22,83.3,1.0141,1.41
B,4,2.8334,2.8785,1.59,59,13,28,81.9,1.0189,1.89
B,5,3.233,3.2587,0.8,62,11,27,84.9,1.0113,1.13
L2,2,1.781,1.8018,1.17,61,12,27,83.6,1.0114,1.14
L2,3,2.369,2.4103,1.74,61,13,26,82.4,1.0176,1.76
L2,4,2.8867,2.9534,2.31,64,12,24,84.2,1.0256,2.56
L2,5,3.3189,3.3813,1.88,68,10,22,87.2,1.0212,2.12

# summary
total_v5_win,total_v5_lose,total_tie
813,169,218
overall_win_rate_pct,82.8
