scene,cores,count,v4_mean_speedup,v7_mean_speedup,speedup_lift_pct,mean_makespan_reduction_pct,improved,tied,worse,target_speedup,target_gap_pct
A,2,100,1.491451,1.541864,3.380,3.074,94,6,0,5.0,224.283
A,3,100,1.836335,1.915900,4.333,3.946,96,4,0,5.0,160.974
A,4,100,2.115012,2.235279,5.686,4.874,97,3,0,5.0,123.686
A,5,100,2.301561,2.415865,4.966,4.519,95,5,0,5.0,106.965
B,2,100,1.768348,1.798755,1.719,1.651,67,33,0,5.0,177.970
B,3,100,2.341700,2.397105,2.366,2.220,75,25,0,5.0,108.585
B,4,100,2.833372,2.901071,2.389,2.272,79,21,0,5.0,72.350
B,5,100,3.232996,3.300980,2.103,2.098,71,29,0,5.0,51.470
L2,2,100,1.780963,1.817867,2.072,1.943,71,29,0,5.0,175.048
L2,3,100,2.368983,2.433969,2.743,2.514,77,23,0,5.0,105.426
L2,4,100,2.886746,2.987372,3.486,3.087,80,20,0,5.0,67.371
L2,5,100,3.318880,3.426899,3.255,2.830,76,24,0,5.0,45.905
