case,cores,scene,previous_source,previous_makespan,previous_added_copy_bytes,v7_makespan,v7_added_copy_bytes,makespan_improvement_pct,status,v7_run_id
case_002,3,B,v4,92929,519168,92929,519168,0.0000,tied,20260924_051720_b79e9b
case_002,3,L2,v4,92929,519168,92893,519168,0.0387,improved,20260924_051720_b79e9b
case_003,2,B,v4,399349,1590750,393961,1609446,1.3492,improved,20260924_061236_35f341
case_003,2,L2,v4,399243,1590750,392290,1660646,1.7415,improved,20260924_061236_35f341
case_003,3,B,v6_full,383513,2540440,381194,2569140,0.6047,improved,20260924_061236_35f341
case_003,3,L2,v6_full,382101,2540440,381148,2569140,0.2494,improved,20260924_061236_35f341
case_004,4,A,v4,147019,3118080,124333,2832384,15.4307,improved,20260924_050310_e31da5
case_007,5,A,v4,242692,1127424,238416,1030656,1.7619,improved,20260924_050418_1a0d1a
case_009,2,A,v4,148979,648304,148595,621964,0.2578,improved,20260924_054231_64f968
case_009,2,B,v4,105482,279306,105309,279306,0.1640,improved,20260924_054231_64f968
case_009,2,L2,v4,105482,279306,105218,279306,0.2503,improved,20260924_054231_64f968
case_009,5,B,v4,78167,1311898,77351,1311898,1.0439,improved,20260924_054231_64f968
case_009,5,L2,v4,77455,1311898,75483,1311898,2.5460,improved,20260924_054231_64f968
case_013,4,A,v4,71225,122880,70766,90112,0.6444,improved,20260924_050747_18ff56
case_014,2,A,v4,8940381,148441112,8897496,148261400,0.4797,improved,20260924_071346_2e182f
case_014,2,B,v4,8919730,103766624,8910038,104072288,0.1087,improved,20260924_071346_2e182f
case_014,4,B,v4,4547736,69561532,4547728,69561532,0.0002,improved,20260924_071346_2e182f
case_014,4,L2,v4,4533801,69561532,4533801,69561532,0.0000,tied,20260924_071346_2e182f
case_014,5,B,v4,3693084,74552660,3686762,74706260,0.1712,improved,20260924_071346_2e182f
case_014,5,L2,v4,3676772,74552660,3646857,74738516,0.8136,improved,20260924_071346_2e182f
case_018,2,A,v4,558220,10325944,558220,10203064,0.0000,improved,20260924_051310_b73ead
case_020,3,A,v4,233465,1675264,232569,1593344,0.3838,improved,20260924_061236_af501c
case_022,2,A,v4,52305,167218,51674,35060,1.2064,improved,20260924_050941_37253d
case_022,4,A,v4,52305,167218,51674,35060,1.2064,improved,20260924_050941_37253d
case_022,5,A,v4,52305,167218,51674,35060,1.2064,improved,20260924_050941_37253d
case_025,3,A,v4,1675554,5420544,1654036,5448192,1.2842,improved,20260924_063151_a55f0c
case_025,4,A,v4,1281062,7242240,1258527,7159296,1.7591,improved,20260924_063151_a55f0c
case_025,4,B,v4,1219242,82944,1219242,82944,0.0000,tied,20260924_063151_a55f0c
case_025,4,L2,v4,1219242,82944,1219242,82944,0.0000,tied,20260924_063151_a55f0c
case_025,5,B,v4,975334,110592,975334,110592,0.0000,tied,20260924_063151_a55f0c
case_025,5,L2,v4,975334,110592,975334,110592,0.0000,tied,20260924_063151_a55f0c
case_028,2,A,v4,20808437,326568960,20651741,326145000,0.7530,improved,20260924_063151_cdb78c
case_030,2,A,v4,1510350,40603676,1508117,40473628,0.1478,improved,20260924_061236_b8e21c
case_030,3,A,v4,1136810,40603676,1125876,40649756,0.9618,improved,20260924_061236_b8e21c
case_030,3,B,v4,964644,15496932,958370,15599332,0.6504,improved,20260924_061236_b8e21c
case_030,4,A,v4,828505,40603676,812506,40551452,1.9311,improved,20260924_061236_b8e21c
