case,scene,cores,status,subgraphs,generation_seconds,evaluation_seconds,makespan,added_copy_bytes,cache_hit_rate,error
case_019,A,2,ok,17,0.014,0.161,83257,2155700,,
case_019,A,3,ok,22,0.011,0.102,83057,2375088,,
case_019,A,4,ok,22,0.011,0.161,83057,2375088,,
case_019,A,5,ok,22,0.012,0.176,83057,2375088,,
case_019,B,2,ok,17,0.013,0.078,68432,172032,,
case_019,B,3,ok,22,0.013,0.078,64842,135168,,
case_019,B,4,ok,22,0.013,0.069,64842,135168,,
case_019,B,5,ok,22,0.009,0.044,64842,135168,,
case_019,L2,2,ok,17,0.007,0.041,68432,172032,0.015322689251672178,
case_019,L2,3,ok,22,0.007,0.044,64842,135168,0.0,
case_019,L2,4,ok,22,0.007,0.051,64842,135168,0.0,
case_019,L2,5,ok,22,0.01,0.047,64842,135168,0.0,
case_035,A,2,ok,17,0.041,0.431,184607,2588838,,
case_035,A,3,ok,25,0.059,0.421,186845,3289636,,
case_035,A,4,ok,33,0.045,0.471,187076,4254340,,
case_035,A,5,ok,40,0.046,0.975,188552,4709558,,
case_035,B,2,ok,17,0.1,0.932,176020,262414,,
case_035,B,3,ok,25,0.093,0.956,176418,359016,,
case_035,B,4,ok,33,0.087,0.992,173170,504510,,
case_035,B,5,ok,40,0.087,1.102,173330,545106,,
case_035,L2,2,ok,17,0.108,0.911,176020,262414,0.1047427638308181,
case_035,L2,3,ok,25,0.088,0.991,176256,359016,0.11708709827057893,
case_035,L2,4,ok,33,0.096,0.98,173090,504510,0.12289483424711407,
case_035,L2,5,ok,40,0.118,1.091,173330,545106,0.1247853575320248,
case_014,A,2,ok,80,1.255,64.506,13164802,395724492,,
case_014,A,3,ok,80,1.354,83.488,10390663,395724492,,
case_014,A,4,ok,80,1.679,91.394,9080575,395724492,,
case_014,A,5,ok,80,1.141,104.153,7921481,395724492,,
case_014,B,2,ok,80,1.317,54.306,12996644,371218280,,
case_014,B,3,ok,80,1.16,44.023,10179250,370190696,,
case_014,B,4,ok,80,1.264,37.92,8487960,372738920,,
case_014,B,5,ok,80,1.05,34.34,7475621,372637544,,
case_014,L2,2,ok,80,0.918,38.491,12985020,371218280,0.04411962023289194,
case_014,L2,3,ok,80,1.026,35.03,10165427,370190696,0.05086672457217703,
case_014,L2,4,ok,80,0.939,33.966,8478144,372738920,0.04985971179992444,
case_014,L2,5,ok,80,1.264,37.004,7450439,372637544,0.05065441639460425,
