case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,121455,1.9193116792227574,1152,158664,1.306360380387798,paired_b_plan,0.151,0.475,121455,121455,1152,1152,1.0,0.0,0.0
case_001,3,ok,233110,84296,2.765374394989086,2304,102846,1.220057891240391,paired_b_plan,0.144,0.462,84296,84296,2304,2304,1.0,0.0,0.0
case_001,4,ok,233110,71177,3.2750748134931227,1404288,88182,1.2389114461132107,paired_b_plan,0.19,0.51,71177,71177,1404288,1404288,1.0,0.26565685988930965,0.26565685988930965
case_001,5,ok,233110,55999,4.162752906301899,1921536,69458,1.2403435775638851,paired_b_plan,0.209,0.53,60723,55999,1921536,1921536,1.084358649261594,0.3019051676912776,0.3019051676912776
case_002,2,ok,261945,137914,1.8993358179735198,500736,166937,1.2104427396783504,paired_b_plan,0.445,1.576,137914,137914,500736,500736,1.0,0.0,0.0
case_002,3,ok,261945,92929,2.818764863497939,519168,118615,1.2764045669274393,paired_b_plan,0.408,1.564,92929,92929,519168,519168,1.0,0.0,0.0
case_002,4,ok,261945,72180,3.6290523690773067,660480,98050,1.35840953172624,paired_b_plan,0.414,1.601,72180,72180,660480,660480,1.0,0.0,0.0
case_002,5,ok,261945,61331,4.2710048751854695,755712,89435,1.4582348241509189,paired_b_plan,0.406,1.667,61331,61331,755712,755712,1.0,0.0,0.0
case_003,2,ok,602212,571798,1.0531901125922092,111238,624948,1.092952406269347,paired_b_plan,6.358,20.969,571797,571798,111238,111238,0.999998251130644,0.00010000626904970162,0.00010000626904970162
case_003,3,ok,602212,571798,1.0531901125922092,111238,624948,1.092952406269347,paired_b_plan,6.64,22.385,571797,571798,111238,111238,0.999998251130644,0.00010000626904970162,0.00010000626904970162
case_003,4,ok,602212,571798,1.0531901125922092,111238,598792,1.0472089793948212,paired_b_plan,6.914,21.813,571797,571798,111238,111238,0.999998251130644,0.00010000626904970162,0.00010000626904970162
case_003,5,ok,602212,571798,1.0531901125922092,111238,614730,1.0750824591901336,paired_b_plan,6.899,21.861,571797,571798,111238,111238,0.999998251130644,0.00010000626904970162,0.00010000626904970162
case_004,2,ok,392357,220310,1.7809314148245654,3056640,289572,1.314384276701012,paired_b_plan,0.263,0.709,220860,220310,3056640,3056640,1.0024964822295857,0.08948863636363637,0.08948863636363637
case_004,3,ok,392357,169045,2.3210210299032803,4273152,200727,1.1874175515395309,v2_memory_37,0.177,0.681,169219,169219,221184,221184,1.0,0.0,0.2031578947368421
case_004,4,ok,392357,118300,3.316627218934911,331776,160369,1.3556128486897718,paired_b_plan,0.185,0.671,118300,118300,331776,331776,1.0,0.0,0.0
case_004,5,ok,392357,118300,3.316627218934911,331776,167273,1.4139729501267964,paired_b_plan,0.189,0.695,118300,118300,331776,331776,1.0,0.0,0.0
case_005,2,ok,95618,90292,1.058986399681035,0,91434,1.0126478536304435,paired_b_plan,1.291,3.601,90292,90292,0,0,1.0,0.0,0.0
case_005,3,ok,95618,88011,1.0864323777709604,0,88011,1.0,paired_b_plan,1.319,3.624,88011,88011,0,0,1.0,0.0,0.0
case_005,4,ok,95618,90292,1.058986399681035,0,93152,1.0316750099676604,paired_b_plan,1.376,3.853,90292,90292,0,0,1.0,0.0,0.0
case_005,5,ok,95618,89263,1.0711941117820374,0,89779,1.0057806706026013,paired_b_plan,1.333,3.79,89263,89263,0,0,1.0,0.0,0.0
case_006,2,ok,82837,41771,1.9831222618563118,8272,91117,2.181345909841756,paired_b_plan,0.163,0.445,41771,41771,8272,8272,1.0,0.014854142187794654,0.014854142187794654
case_006,3,ok,82837,41447,1.9986247496803147,16396,89588,2.1615074673679637,paired_b_plan,0.16,0.44,41447,41447,16396,16396,1.0,0.029275230767581397,0.029275230767581397
case_006,4,ok,82837,41447,1.9986247496803147,16396,89588,2.1615074673679637,paired_b_plan,0.165,0.459,41447,41447,16396,16396,1.0,0.029275230767581397,0.029275230767581397
case_006,5,ok,82837,41447,1.9986247496803147,16396,89588,2.1615074673679637,paired_b_plan,0.164,0.47,41447,41447,16396,16396,1.0,0.029275230767581397,0.029275230767581397
case_007,2,ok,1012562,525734,1.9259967968592482,27648,734359,1.3968261516280096,paired_b_plan,1.314,6.159,525734,525734,27648,27648,1.0,0.0,0.0
case_007,3,ok,1012562,350836,2.8861405328985623,55296,573476,1.634598501864119,paired_b_plan,1.199,5.9,350836,350836,55296,55296,1.0,0.0,0.0
case_007,4,ok,1012562,292650,3.459976080642406,82944,445615,1.522689219203827,paired_b_plan,1.186,5.17,292650,292650,82944,82944,1.0,0.0,0.0
case_007,5,ok,1012562,234764,4.313105927655006,110592,367878,1.5670119779864033,paired_b_plan,1.128,5.052,234764,234764,110592,110592,1.0,0.0,0.0
case_008,2,ok,487605,253187,1.9258690217112253,0,521103,2.058174392840075,paired_b_plan,0.268,0.91,253187,253187,0,0,1.0,0.0,0.0
case_008,3,ok,487605,163359,2.984867684057811,0,464149,2.8412820842439044,paired_b_plan,0.256,0.893,163359,163359,0,0,1.0,0.0,0.0
case_008,4,ok,487605,127469,3.825283009986742,0,448867,3.5213816692686066,paired_b_plan,0.257,0.942,127469,127469,0,0,1.0,0.0,0.0
case_008,5,ok,487605,109524,4.452037909499288,0,441450,4.030623425002739,paired_b_plan,0.254,0.946,109524,109524,0,0,1.0,0.0,0.0
case_009,2,ok,153261,140176,1.0933469352813605,135346,152702,1.0893590914279192,paired_b_plan,1.802,6.226,140176,140176,135346,135346,1.0,0.02875614189305139,0.02875614189305139
case_009,3,ok,153261,140185,1.0932767414487998,135346,153565,1.0954453044191603,paired_b_plan,1.979,6.465,140185,140185,135346,135346,1.0,0.02875614189305139,0.02875614189305139
case_009,4,ok,153261,140185,1.0932767414487998,135346,150745,1.0753290294967364,paired_b_plan,1.926,6.377,140185,140185,135346,135346,1.0,0.02875614189305139,0.02875614189305139
case_009,5,ok,153261,140185,1.0932767414487998,135346,155188,1.1070228626457894,paired_b_plan,1.94,6.478,140185,140185,135346,135346,1.0,0.02875614189305139,0.02875614189305139
case_010,2,ok,86969,69143,1.2578135169142213,985480,103029,1.490085764285611,paired_b_plan,0.164,0.4,69261,69143,985480,985480,1.0017066080441983,0.04871003420473436,0.04871003420473436
case_010,3,ok,86969,69505,1.2512624991007841,1006668,104141,1.4983238615926913,paired_b_plan,0.164,0.405,69505,69505,1006668,1006668,1.0,0.045666565361593046,0.045666565361593046
case_010,4,ok,86969,69505,1.2512624991007841,1006668,104141,1.4983238615926913,paired_b_plan,0.165,0.414,69505,69505,1006668,1006668,1.0,0.045666565361593046,0.045666565361593046
case_010,5,ok,86969,69505,1.2512624991007841,1006668,104141,1.4983238615926913,paired_b_plan,0.166,0.417,69505,69505,1006668,1006668,1.0,0.045666565361593046,0.045666565361593046
case_011,2,ok,184697,156946,1.1768187784333466,614400,157035,1.000567074025461,paired_b_plan,0.179,0.453,156946,156946,614400,614400,1.0,0.0,0.0
case_011,3,ok,184697,98712,1.8710693735310804,2082816,138383,1.4018862954858577,paired_b_plan,0.221,0.558,98712,98712,2082816,2082816,1.0,0.06798516687268233,0.06798516687268233
case_011,4,ok,184697,97866,1.8872437823145933,2197504,138783,1.4180920850959475,paired_b_plan,0.219,0.55,97866,97866,2197504,2197504,1.0,0.07168458781362007,0.07168458781362007
case_011,5,ok,184697,92363,1.9996860214588092,2240512,139144,1.50649069432565,paired_b_plan,0.23,0.57,95424,92363,2240512,2240512,1.0331409763649946,0.07294117647058823,0.07294117647058823
case_012,2,ok,59088,48771,1.2115396444608477,153600,51564,1.0572676385556992,paired_b_plan,0.265,0.675,48771,48771,153600,153600,1.0,0.02167042889390519,0.02167042889390519
case_012,3,ok,59088,48538,1.21735547406156,344072,53230,1.096666529317236,paired_b_plan,0.285,0.741,48687,48538,344072,344072,1.0030697597758458,0.0770232927691346,0.0770232927691346
case_012,4,ok,59088,47024,1.2565498468866962,450084,54172,1.152007485539299,paired_b_plan,0.296,0.77,47301,47024,450084,450084,1.0058906090506976,0.05596224734329614,0.05596224734329614
