scene,cores,count,mean_speedup,mean_gain_over_v1,win_rate_over_v1,mean_paired_l2_speedup
A,1,100,1.0,,,
A,2,100,1.3751055238200676,1.3354210294465438,0.96,
A,3,100,1.6204117174361323,1.4661975788276356,0.97,
A,4,100,1.8093352926735284,1.5687241245740255,0.94,
A,5,100,1.9466415486429083,1.6322281180642697,0.97,
B,1,100,1.0,,,
B,2,100,1.4435528214251963,1.3188074277778679,0.96,
B,3,100,1.7406844302524525,1.4316777209441687,0.93,
B,4,100,1.9872441829544527,1.5369044232802531,0.94,
B,5,100,2.160581483249281,1.6046081825885545,0.96,
L2,1,100,1.0,,,1.0086217156663206
L2,2,100,1.4513190723089762,1.318835486362627,0.96,1.004743729518466
L2,3,100,1.753476420666866,1.4291343559411664,0.91,1.0070127471365344
L2,4,100,2.015976403240444,1.5405922633770475,0.94,1.0131498396886105
L2,5,100,2.2116967828853777,1.6192041516037734,0.98,1.0209771021349985
