case,cores,scene,ops,critical_compute_cycles,pipe_work_lower_bound,lower_bound,makespan,makespan_over_compute_bound
case_001,2,A,600,1316,116400.0,116400.0,126250,1.0846219931271477
case_001,2,B,600,1316,116400.0,116400.0,121455,1.0434278350515465
case_001,2,L2,600,1316,116400.0,116400.0,121455,1.0434278350515465
case_001,3,A,600,1316,77600.0,77600.0,86275,1.111791237113402
case_001,3,B,600,1316,77600.0,77600.0,84296,1.0862886597938144
case_001,3,L2,600,1316,77600.0,77600.0,84296,1.0862886597938144
case_001,4,A,600,1316,58200.0,58200.0,76642,1.316872852233677
case_001,4,B,600,1316,58200.0,58200.0,71177,1.2229725085910652
case_001,4,L2,600,1316,58200.0,58200.0,71177,1.2229725085910652
case_001,5,A,600,1316,46560.0,46560.0,76642,1.6460910652920961
case_001,5,B,600,1316,46560.0,46560.0,60723,1.3041881443298968
case_001,5,L2,600,1316,46560.0,46560.0,55999,1.2027276632302406
case_002,2,A,1798,2976,120000.0,120000.0,147303,1.227525
case_002,2,B,1798,2976,120000.0,120000.0,137914,1.1492833333333334
case_002,2,L2,1798,2976,120000.0,120000.0,137914,1.1492833333333334
case_002,3,A,1798,2976,80000.0,80000.0,105162,1.314525
case_002,3,B,1798,2976,80000.0,80000.0,92929,1.1616125
case_002,3,L2,1798,2976,80000.0,80000.0,92929,1.1616125
case_002,4,A,1798,2976,60000.0,60000.0,84137,1.4022833333333333
case_002,4,B,1798,2976,60000.0,60000.0,72180,1.203
case_002,4,L2,1798,2976,60000.0,60000.0,72180,1.203
case_002,5,A,1798,2976,48000.0,48000.0,70739,1.4737291666666668
case_002,5,B,1798,2976,48000.0,48000.0,61331,1.2777291666666666
case_002,5,L2,1798,2976,48000.0,48000.0,61331,1.2777291666666666
case_003,2,A,13455,28285,219396.0,219396.0,596343,2.7181124541924193
case_003,2,B,13455,28285,219396.0,219396.0,571797,2.6062325657714815
case_003,2,L2,13455,28285,219396.0,219396.0,571798,2.6062371237397217
