scene,cores,count,mean_speedup,mean_gain_over_v1,win_rate_over_v1,mean_paired_l2_speedup
A,1,100,1.0,,,
A,2,100,1.4914508447529053,1.453297208701099,0.99,
A,3,100,1.8363349799063613,1.6707711945392056,0.98,
A,4,100,2.1150120030897015,1.8433927034472555,0.99,
A,5,100,2.301560803125523,1.9419551478537225,0.99,
B,1,100,1.0,,,
B,2,100,1.7683482041666323,1.634227141503857,1.0,
B,3,100,2.341699941413647,1.9838118067038146,0.99,
B,4,100,2.8333716562470155,2.2858088104082257,0.99,
B,5,100,3.2329958946477317,2.523992445245191,0.99,
L2,1,100,1.0,,,1.0086217156663206
L2,2,100,1.7809632500428676,1.63677128478747,1.0,1.007539933765
L2,3,100,2.368983138662705,1.9903008892692424,0.99,1.0128129184362031
L2,4,100,2.8867463810715277,2.304931775011387,0.99,1.0218416797823984
L2,5,100,3.3188796604638613,2.559403310847982,0.99,1.0309629696488656
