case,cores,scene,ops,critical_compute_cycles,pipe_work_lower_bound,lower_bound,makespan,makespan_over_compute_bound
case_001,2,A,600,1316,116400.0,116400.0,123070,1.0573024054982818
case_001,2,B,600,1316,116400.0,116400.0,116868,1.004020618556701
case_001,2,L2,600,1316,116400.0,116400.0,116868,1.004020618556701
case_001,3,A,600,1316,77600.0,77600.0,84844,1.0933505154639176
case_001,3,B,600,1316,77600.0,77600.0,78545,1.0121778350515465
case_001,3,L2,600,1316,77600.0,77600.0,78545,1.0121778350515465
case_001,4,A,600,1316,58200.0,58200.0,68146,1.170893470790378
case_001,4,B,600,1316,58200.0,58200.0,58984,1.013470790378007
case_001,4,L2,600,1316,58200.0,58200.0,58984,1.013470790378007
case_001,5,A,600,1316,46560.0,46560.0,51670,1.1097508591065293
case_001,5,B,600,1316,46560.0,46560.0,47502,1.0202319587628865
case_001,5,L2,600,1316,46560.0,46560.0,47502,1.0202319587628865
case_002,2,A,1798,2976,120000.0,120000.0,144185,1.2015416666666667
case_002,2,B,1798,2976,120000.0,120000.0,137650,1.1470833333333332
case_002,2,L2,1798,2976,120000.0,120000.0,137650,1.1470833333333332
case_002,3,A,1798,2976,80000.0,80000.0,105162,1.314525
case_002,3,B,1798,2976,80000.0,80000.0,92929,1.1616125
case_002,3,L2,1798,2976,80000.0,80000.0,92929,1.1616125
case_002,4,A,1798,2976,60000.0,60000.0,81685,1.3614166666666667
case_002,4,B,1798,2976,60000.0,60000.0,72103,1.2017166666666668
case_002,4,L2,1798,2976,60000.0,60000.0,72103,1.2017166666666668
case_002,5,A,1798,2976,48000.0,48000.0,68943,1.4363125
case_002,5,B,1798,2976,48000.0,48000.0,58897,1.2270208333333332
case_002,5,L2,1798,2976,48000.0,48000.0,58897,1.2270208333333332
case_003,2,A,13455,28285,219396.0,219396.0,594418,2.7093383653302703
case_003,2,B,13455,28285,219396.0,219396.0,399349,1.8202200587066308
case_003,2,L2,13455,28285,219396.0,219396.0,399243,1.8197369140731827
case_003,3,A,13455,28285,146264.0,146264.0,594418,4.064007547995406
case_003,3,B,13455,28285,146264.0,146264.0,385935,2.638619209101351
case_003,3,L2,13455,28285,146264.0,146264.0,384579,2.6293483017010337
case_003,4,A,13455,28285,109698.0,109698.0,594418,5.418676730660541
case_003,4,B,13455,28285,109698.0,109698.0,366574,3.341665299276195
case_003,4,L2,13455,28285,109698.0,109698.0,366066,3.3370344035442763
case_003,5,A,13455,28285,87758.4,87758.4,594418,6.773345913325676
case_003,5,B,13455,28285,87758.4,87758.4,355037,4.045618425130814
case_003,5,L2,13455,28285,87758.4,87758.4,353767,4.0311468759685685
case_004,2,A,777,2748,192807.0,192807.0,237239,1.2304480646449558
case_004,2,B,777,2748,192807.0,192807.0,199074,1.0325040065972708
case_004,2,L2,777,2748,192807.0,192807.0,199074,1.0325040065972708
case_004,3,A,777,2748,128538.0,128538.0,187674,1.4600662839004808
case_004,3,B,777,2748,128538.0,128538.0,137467,1.0694658388958906
case_004,3,L2,777,2748,128538.0,128538.0,137467,1.0694658388958906
case_004,4,A,777,2748,96403.5,96403.5,147019,1.525037991359235
case_004,4,B,777,2748,96403.5,96403.5,104188,1.0807491429253087
case_004,4,L2,777,2748,96403.5,96403.5,104188,1.0807491429253087
case_004,5,A,777,2748,77122.8,77122.8,134700,1.7465652180678086
case_004,5,B,777,2748,77122.8,77122.8,88341,1.1454589304330236
case_004,5,L2,777,2748,77122.8,77122.8,88341,1.1454589304330236
case_005,2,A,4113,6894,31941.0,31941.0,95865,3.0013149243918473
case_005,2,B,4113,6894,31941.0,31941.0,65726,2.057731442346827
case_005,2,L2,4113,6894,31941.0,31941.0,65567,2.0527535142919757
case_005,3,A,4113,6894,21294.0,21294.0,95865,4.501972386587771
case_005,3,B,4113,6894,21294.0,21294.0,61658,2.8955574340189725
case_005,3,L2,4113,6894,21294.0,21294.0,60994,2.8643749412980184
case_005,4,A,4113,6894,15970.5,15970.5,95865,6.002629848783695
case_005,4,B,4113,6894,15970.5,15970.5,60524,3.7897373281988664
case_005,4,L2,4113,6894,15970.5,15970.5,59210,3.7074606305375535
case_005,5,A,4113,6894,12776.4,12776.4,95865,7.503287310979619
case_005,5,B,4113,6894,12776.4,12776.4,60107,4.704533358379512
case_005,5,L2,4113,6894,12776.4,12776.4,58185,4.554099746407439
case_006,2,A,678,2836,34500.0,34500.0,44875,1.3007246376811594
case_006,2,B,678,2836,34500.0,34500.0,38469,1.1150434782608696
case_006,2,L2,678,2836,34500.0,34500.0,38469,1.1150434782608696
case_006,3,A,678,2836,23000.0,23000.0,44875,1.951086956521739
case_006,3,B,678,2836,23000.0,23000.0,36873,1.6031739130434783
case_006,3,L2,678,2836,23000.0,23000.0,36873,1.6031739130434783
case_006,4,A,678,2836,17250.0,17250.0,44875,2.601449275362319
case_006,4,B,678,2836,17250.0,17250.0,36689,2.1268985507246376
case_006,4,L2,678,2836,17250.0,17250.0,36646,2.124405797101449
case_006,5,A,678,2836,13800.0,13800.0,44875,3.2518115942028984
case_006,5,B,678,2836,13800.0,13800.0,30731,2.2268840579710143
case_006,5,L2,678,2836,13800.0,13800.0,30094,2.1807246376811595
case_007,2,A,3885,1632,489510.0,489510.0,538178,1.0994218708504422
case_007,2,B,3885,1632,489510.0,489510.0,507494,1.0367387795959224
case_007,2,L2,3885,1632,489510.0,489510.0,507494,1.0367387795959224
case_007,3,A,3885,1632,326340.0,326340.0,355966,1.090782619354048
