case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_001,2,ok,233110,116868,1.9946435294520313,1152,158664,1.357634254030188,v4_idblock_1,,0.562,,,,,,,
case_001,3,ok,233110,78545,2.9678528232223567,2304,103552,1.3183779998726846,v4_idblock_1,,0.547,,,,,,,
case_001,4,ok,233110,58984,3.952088702020887,3456,90390,1.5324494778244948,v4_idblock_1,,0.543,,,,,,,
case_001,5,ok,233110,47502,4.9073723211654245,4608,71968,1.5150519978106185,v4_idblock_1,,0.53,,,,,,,
case_002,2,ok,261945,137650,1.9029785688339993,537600,166937,1.212764257173992,v4_idblock_24,,2.435,,,,,,,
case_002,3,ok,261945,92929,2.818764863497939,519168,118615,1.2764045669274393,v3_seed,,2.389,,,,,,,
case_002,4,ok,261945,72103,3.6329278948171364,771072,110720,1.535581043784586,v4_idblock_24,,2.389,,,,,,,
case_002,5,ok,261945,58897,4.447510059935141,743424,103529,1.7577975109088748,v4_idblock_24,,2.379,,,,,,,
case_003,2,ok,602212,399349,1.507984244357692,1590750,624948,1.5649169022584255,v4_idblock_8,,22.358,,,,,,,
case_003,3,ok,602212,385935,1.5603974762589554,2435992,624948,1.6193089509891563,v4_idblock_8,,24.326,,,,,,,
case_003,4,ok,602212,366574,1.6428115469182212,4553662,598792,1.6334819163388565,v4_idblock_4,,24.374,,,,,,,
case_003,5,ok,602212,355037,1.6961950444601548,4995328,614730,1.7314533414827187,v4_idblock_4,,23.573,,,,,,,
case_004,2,ok,392357,199074,1.9709103147573264,110592,291815,1.4658619407858384,v4_idblock_2,,0.641,,,,,,,
case_004,3,ok,392357,137467,2.854190460255916,221184,202319,1.4717641324827049,v4_idblock_2,,0.632,,,,,,,
case_004,4,ok,392357,104188,3.765855952700887,331776,163537,1.5696337390102506,v4_idblock_2,,0.63,,,,,,,
case_004,5,ok,392357,88341,4.441391879195391,442368,169653,1.9204333208815838,v4_idblock_2,,0.624,,,,,,,
case_005,2,ok,95618,65726,1.454797188327298,623782,91434,1.3911389708791042,v4_idblock_4,,5.115,,,,,,,
case_005,3,ok,95618,61658,1.5507801096370302,1037164,88011,1.4274060138181581,v4_idblock_4,,5.223,,,,,,,
case_005,4,ok,95618,60524,1.579836098076796,1288690,93152,1.5390919304738615,v4_idblock_4,,5.27,,,,,,,
case_005,5,ok,95618,60107,1.5907964130633703,1404760,89779,1.4936529855091754,v4_idblock_4,,5.374,,,,,,,
case_006,2,ok,82837,38469,2.1533442512152643,44,91555,2.3799682861524865,v4_idblock_24,,0.55,,,,,,,
case_006,3,ok,82837,36873,2.246548965367613,29092,91232,2.4742223307026823,v4_idblock_16,,0.565,,,,,,,
case_006,4,ok,82837,36689,2.257815694077244,347616,91232,2.486630870288097,v4_idblock_8,,0.581,,,,,,,
case_006,5,ok,82837,30731,2.6955517230158472,520240,91232,2.9687286453418373,v4_idblock_2,,0.624,,,,,,,
case_007,2,ok,1012562,507494,1.9952196479170197,27648,736174,1.4506063125869468,v4_idblock_2,,5.031,,,,,,,
case_007,3,ok,1012562,339866,2.979297723220328,55296,576540,1.6963744534610699,v4_idblock_2,,4.721,,,,,,,
case_007,4,ok,1012562,256170,3.9526954756606942,82944,448294,1.7499863371979545,v4_idblock_2,,4.633,,,,,,,
case_007,5,ok,1012562,205580,4.925391575055939,110592,369929,1.7994406070629438,v4_idblock_2,,4.501,,,,,,,
case_008,2,ok,487605,244266,1.9962049568912579,0,517423,2.1182767966069775,v4_idblock_1,,0.905,,,,,,,
case_008,3,ok,487605,163359,2.984867684057811,0,483687,2.960883697867886,v3_seed,,0.872,,,,,,,
case_008,4,ok,487605,123060,3.962335446123842,0,462817,3.7609052494718025,v4_idblock_1,,0.867,,,,,,,
case_008,5,ok,487605,100603,4.846823653370178,0,456926,4.541872508772104,v4_idblock_1,,0.865,,,,,,,
case_009,2,ok,153261,105482,1.452958798657591,279306,152702,1.4476593162814508,v4_idblock_8,,6.613,,,,,,,
case_009,3,ok,153261,95663,1.602092763137263,422340,153565,1.6052705852837565,v4_idblock_8,,6.553,,,,,,,
case_009,4,ok,153261,88788,1.7261454250574402,833506,150797,1.6983939271072668,v4_idblock_4,,6.39,,,,,,,
case_009,5,ok,153261,78167,1.9606867348113655,1311898,155188,1.9853390817096728,v4_idblock_2,,6.484,,,,,,,
case_010,2,ok,86969,51403,1.6919051417232458,419900,103029,2.0043382681944633,v4_idblock_1,,0.514,,,,,,,
case_010,3,ok,86969,42454,2.0485466622697506,412024,104141,2.4530315164648795,v4_idblock_1,,0.523,,,,,,,
case_010,4,ok,86969,36171,2.4043847280970945,552900,104141,2.8791296895302865,v4_idblock_1,,0.527,,,,,,,
case_010,5,ok,86969,31002,2.8052706277014385,671724,104141,3.3591703761047675,v4_idblock_1,,0.519,,,,,,,
case_011,2,ok,184697,92646,1.9935777043801135,180224,157035,1.6950003238132245,v4_idblock_2,,0.575,,,,,,,
case_011,3,ok,184697,69694,2.6501133526558958,901120,138383,1.985579820357563,v4_idblock_2,,0.608,,,,,,,
case_011,4,ok,184697,46880,3.9397824232081913,540672,138783,2.9603882252559726,v4_idblock_2,,0.609,,,,,,,
case_011,5,ok,184697,46880,3.9397824232081913,1081344,139166,2.9685580204778157,v4_idblock_4,,0.63,,,,,,,
case_012,2,ok,59088,40133,1.4723045872474023,251458,51564,1.2848279470759725,v4_idblock_4,,0.901,,,,,,,
case_012,3,ok,59088,30253,1.953128615343933,108416,53230,1.759494926123029,v4_idblock_16,,0.962,,,,,,,
case_012,4,ok,59088,30573,1.9326857030713374,148744,54417,1.7799038367186732,v4_idblock_16,,0.955,,,,,,,
case_012,5,ok,59088,30793,1.9188776670022407,148744,54417,1.7671873477738447,v4_idblock_16,,0.989,,,,,,,
case_013,2,ok,263949,132198,1.9966187083011846,8192,183546,1.3884173739390913,v4_idblock_4,,2.584,,,,,,,
case_013,3,ok,263949,88351,2.98750438591527,16384,144822,1.6391665063213772,v4_idblock_4,,2.503,,,,,,,
case_013,4,ok,263949,66982,3.9405959810098237,24576,119700,1.7870472664297872,v4_idblock_4,,2.5,,,,,,,
case_013,5,ok,263949,54363,4.855305998565201,32768,128310,2.3602450195905305,v4_idblock_4,,2.373,,,,,,,
case_014,2,ok,17698626,8919730,1.9842109570581172,103766624,12996644,1.4570669740003341,v4_idblock_8,,132.018,,,,,,,
case_014,3,ok,17698626,6049149,2.9258042742871764,77487644,10179250,1.6827573597542398,v4_idblock_16,,118.739,,,,,,,
case_014,4,ok,17698626,4547736,3.891744375662967,69561532,8487960,1.8664144092796944,v4_idblock_24,,100.051,,,,,,,
case_014,5,ok,17698626,3693084,4.792370279148809,74552660,7475621,2.0242217615413027,v4_idblock_24,,95.246,,,,,,,
case_015,2,ok,177362,95316,1.8607788828738092,311404,182560,1.915313273742079,v4_idblock_48,,0.973,,,,,,,
case_015,3,ok,177362,92058,1.9266332094983598,1820888,200053,2.173119120554433,v4_idblock_1,,0.996,,,,,,,
case_015,4,ok,177362,80524,2.2025979832099747,2210650,178713,2.219375589886245,v4_idblock_1,,1.006,,,,,,,
case_015,5,ok,177362,75499,2.3491966781016966,2365878,178713,2.367090954847084,v4_idblock_1,,1.051,,,,,,,
