scene,cores,count,v3_speedup,v4_speedup,improved,mean_time_reduction,mean_time_ratio
A,2,100,1.3751055238200676,1.4914508447529053,73,0.0719431376852417,1.0981314753328097
A,3,100,1.6204117174361323,1.8363349799063613,74,0.10824775335603498,1.157041433363353
A,4,100,1.8093352926735282,2.1150120030897015,79,0.12793999647431314,1.2021745962487849
A,5,100,1.946641548642908,2.3015608031255224,82,0.13988664535418407,1.2182671464615338
B,2,100,1.4435528214251963,1.7683482041666323,92,0.18638987682403507,1.2719675186435588
B,3,100,1.7406844302524525,2.3416999414136472,91,0.2621053921184848,1.4485651181346058
B,4,100,1.9872441829544527,2.833371656247015,95,0.30356708665695314,1.582037165123999
B,5,100,2.160581483249281,3.2329958946477317,94,0.3385930902499037,1.683199594281105
L2,2,100,1.451319072308976,1.7809632500428676,92,0.18803043361056027,1.2758835122049326
L2,3,100,1.753476420666866,2.3689831386627054,91,0.2655951784319702,1.4572946327979694
L2,4,100,2.015976403240444,2.8867463810715277,94,0.30780146402250474,1.598061347143562
L2,5,100,2.2116967828853777,3.318879660463861,93,0.34384939667670356,1.7026313382376586
